MedianIncome,HouseAge,NoOfRooms,NoofBedrooms,price,property_type,high_value
3.9224,39,6,3,1.313,flat,0
4.1118,5,5,3,1.259,flat,0
3.6298,34,5,2,1.085,flat,0
3.1641,21,5,3,1.173,flat,0
2.227,30,4,3,0.919,flat,0
1.9029,36,4,3,0.98,flat,0
1.6645,35,5,3,0.933,flat,0
2.3859,36,5,3,1.162,flat,0
3.4398,35,6,3,1.343,flat,0
3.0294,42,5,3,1.357,flat,0
2.8983,48,5,3,1.292,flat,0
4.2415,52,6,2,1.401,flat,0
5.2269,52,7,3,1.61,duplex,0
1.6006,52,5,3,1.462,duplex,0
3.2481,34,6,2,1.288,flat,0
3.7321,33,6,3,1.342,flat,0
3.8438,28,6,3,1.308,flat,0
4.1339,34,6,2,1.35,flat,0
1.9643,32,4,3,1.132,flat,0
3.1786,34,3,2,1.178,flat,0
1.4063,51,5,3,0.988,flat,0
2.3406,33,5,3,1.226,flat,0
2.2596,33,4,2,1.194,flat,0
2.8929,36,5,3,1.181,flat,0
2.0734,28,4,3,1.133,flat,0
2.625,30,4,3,0.943,flat,0
2.1354,29,4,3,1.107,flat,0
2.1141,27,4,3,1.109,flat,0
1.9718,46,5,3,1.106,flat,0
3.15,26,5,3,1.297,flat,0
3.0375,42,6,3,1.181,flat,0
3.7454,33,6,3,1.164,flat,0
3.0429,27,5,2,1.296,flat,0
3.4609,27,5,3,1.233,flat,0
3.125,22,5,3,1.136,flat,0
2.8347,34,6,3,1.158,flat,0
3.4464,36,6,3,1.13,flat,0
5.6513,26,8,3,2.279,duplex,1
6.3875,10,7,3,3.107,house,1
6.2384,25,7,3,2.476,house,1
6.0191,8,7,3,2.539,house,1
5.0111,16,7,3,2.129,duplex,1
5.0869,23,7,3,2.306,house,1
4.9589,12,6,3,2.821,house,1
6.4266,5,7,3,3.156,house,1
6.8758,26,7,3,2.538,house,1
6.2734,14,7,3,2.67,house,1
6.1076,26,7,2,2.212,duplex,1
7.0329,11,8,3,3.683,house,1
6.6288,7,7,3,3.397,house,1
5.9716,19,7,2,2.621,house,1
5.1762,16,7,3,2.644,house,1
6.4333,16,7,3,2.715,house,1
6.9754,4,7,3,4.025,house,1
7.5286,24,7,3,4.627,house,1
8.105,23,7,2,3.862,house,1
11.1077,32,9,3,5.00001,house,1
7.5196,31,8,3,3.809,house,1
5.6015,33,6,2,2.672,house,1
3.8167,21,7,3,2.587,house,1
4.51,22,6,3,1.899,duplex,1
5.5496,29,7,2,2.182,duplex,1
6.4667,16,7,2,2.639,house,1
6.1498,26,7,2,2.391,house,1
3.775,25,6,3,1.917,duplex,1
3.6484,31,5,3,1.896,duplex,1
4.2685,32,6,3,2.166,duplex,1
5.5629,36,6,2,1.883,duplex,1
5.2405,36,7,2,2.2,duplex,1
3.2469,33,5,3,2.069,duplex,1
3.5109,29,5,3,1.86,duplex,1
3.5977,23,6,3,1.806,duplex,1
5.0832,29,7,3,1.969,duplex,1
3.875,15,6,3,1.733,duplex,0
3.8465,17,6,3,1.807,duplex,1
3.1133,27,5,2,1.806,duplex,1
4.2454,33,7,3,1.838,duplex,1
5.1708,33,6,3,1.585,duplex,0
4.0417,34,7,3,1.78,duplex,0
3.8571,34,5,3,1.745,duplex,0
4.6556,23,6,3,1.996,duplex,1
4.5234,34,6,2,1.922,duplex,1
4.1411,30,5,2,1.827,duplex,1
4.9239,35,6,2,1.688,duplex,0
4.0938,35,6,2,1.653,duplex,0
4.5221,36,6,2,1.513,duplex,0
3.2383,18,5,3,1.57,duplex,0
3.9934,35,6,3,1.419,duplex,0
4.05,35,5,3,1.413,flat,0
3.6875,27,5,3,1.402,flat,0
4.2019,37,6,3,1.401,flat,0
2.8547,25,5,3,1.556,duplex,0
4.1836,36,6,2,1.643,duplex,0
4.1995,34,6,3,1.474,duplex,0
2.6619,25,5,3,1.176,flat,0
2.6292,32,5,3,1.361,flat,0
1.5,5,4,3,1.398,flat,0
3.1597,37,5,2,1.33,flat,0
2.6629,33,5,3,1.241,flat,0
4.0529,33,5,2,1.382,flat,0
3.3322,35,5,2,1.514,duplex,0
2.2132,34,5,3,1.385,flat,0
2.8643,42,5,3,1.326,flat,0
3.7846,41,5,2,1.455,duplex,0
4.1944,33,5,3,1.495,duplex,0
2.9459,32,5,3,1.444,duplex,0
3.5385,36,4,2,1.344,flat,0
2.1667,23,5,3,1.426,duplex,0
3.525,20,5,2,1.53,duplex,0
3.2202,24,5,3,1.262,flat,0
3.3625,31,6,3,1.534,duplex,0
3.0417,18,5,3,1.375,flat,0
3.5625,11,5,2,1.41,flat,0
3.4327,31,5,3,1.472,duplex,0
3.0184,15,5,3,1.394,flat,0
2.9107,28,5,2,1.525,duplex,0
2.564,32,5,3,1.458,duplex,0
2.25,34,4,3,1.385,flat,0
2.4911,35,5,2,1.459,duplex,0
2.8906,35,6,3,1.348,flat,0
3.0806,8,5,3,1.424,duplex,0
3.3261,30,5,2,1.641,duplex,0
3.7736,32,5,3,1.584,duplex,0
3.2,20,5,3,1.571,duplex,0
2.7802,22,5,3,1.625,duplex,0
3.4784,17,5,3,1.522,duplex,0
3.7727,22,5,3,1.597,duplex,0
3.5,31,6,3,1.613,duplex,0
4.1304,27,5,2,1.605,duplex,0
3.1034,29,5,3,1.408,flat,0
3.2957,35,5,3,1.416,duplex,0
2.9712,33,5,2,1.439,duplex,0
4,26,6,3,1.601,duplex,0
3.4427,30,5,3,1.608,duplex,0
3.1621,6,4,3,1.31,flat,0
3.2266,30,5,3,1.418,duplex,0
3.4032,31,5,2,1.434,duplex,0
2.8375,21,6,3,1.665,duplex,0
3.125,34,6,3,1.541,duplex,0
2.851,18,4,2,1.406,flat,0
2.2679,39,4,3,1.518,duplex,0
3.1912,33,5,3,1.599,duplex,0
3.9741,28,6,2,1.731,duplex,0
2.1062,21,5,3,1.767,duplex,0
4.4653,32,6,3,1.954,duplex,1
4.064,34,5,3,2.012,duplex,1
4.87,35,6,2,1.877,duplex,1
3.2969,37,6,2,1.89,duplex,1
4.1172,37,6,3,1.765,duplex,0
3.9861,34,6,3,1.639,duplex,0
4.2062,35,5,2,1.613,duplex,0
4.0167,35,5,2,1.655,duplex,0
4.4625,37,6,2,1.542,duplex,0
3.8705,36,6,2,1.919,duplex,1
4.1312,35,6,2,1.852,duplex,1
3.3977,34,6,3,1.888,duplex,1
4.5078,36,6,3,1.871,duplex,1
3.9583,35,6,2,2.06,duplex,1
4.3947,36,6,3,1.97,duplex,1
4.125,36,6,2,1.858,duplex,1
3.6625,33,6,3,2.171,duplex,1
3.5795,35,6,3,1.869,duplex,1
4.2986,36,7,3,1.896,duplex,1
3.5536,35,7,3,2.07,duplex,1
5.7039,35,6,2,1.994,duplex,1
3.2813,28,6,3,1.811,duplex,1
3.0441,20,5,3,1.854,duplex,1
5.0123,35,6,2,1.657,duplex,0
4.375,33,5,3,1.505,duplex,0
3.7083,31,5,3,1.66,duplex,0
4.25,35,6,2,1.667,duplex,0
4.0052,35,6,3,1.607,duplex,0
2.9437,27,5,3,1.804,duplex,1
3.8304,35,6,2,1.759,duplex,0
3.125,34,5,2,1.686,duplex,0
4.5655,35,6,2,1.766,duplex,0
4.125,34,6,3,2.208,duplex,1
5.212,32,6,2,2.012,duplex,1
2.4167,37,6,3,1.813,duplex,1
2.3971,35,4,3,1.889,duplex,1
3.4453,37,5,3,1.767,duplex,0
4.3409,39,6,2,1.918,duplex,1
2.7763,30,5,3,1.878,duplex,1
3.5,35,5,2,2.156,duplex,1
3.1949,25,5,3,2.074,duplex,1
3.8837,32,6,3,2.003,duplex,1
3.2943,32,5,3,2.044,duplex,1
10.1248,25,8,2,4.285,house,1
5.9254,23,7,3,4.912,house,1
7.5,35,7,2,2.872,house,1
5.4469,33,7,3,2.747,house,1
5.6406,33,7,3,2.662,house,1
3.9808,35,6,2,1.886,duplex,1
3.055,35,6,3,1.72,duplex,0
4.5179,35,7,3,2.188,duplex,1
5.3664,34,7,3,2.683,house,1
5.8519,36,7,3,2.494,house,1
5.0897,36,6,3,1.89,duplex,1
4.5594,33,6,3,2.042,duplex,1
3.5547,34,6,3,1.976,duplex,1
4.7708,36,6,2,1.917,duplex,1
3.2122,29,5,2,1.955,duplex,1
5.112,29,7,3,2.183,duplex,1
5.0758,35,7,3,2.111,duplex,1
5.184,35,7,2,2.249,duplex,1
5.4635,37,6,3,2.021,duplex,1
3.9375,35,6,2,1.875,duplex,1
4.1731,36,6,2,2.051,duplex,1
4.2926,32,6,3,1.907,duplex,1
9.7066,38,9,3,1.825,duplex,1
3.4596,28,6,3,2.028,duplex,1
5.8722,34,6,2,2.048,duplex,1
4.0333,32,6,3,2.102,duplex,1
3.6648,34,5,2,1.939,duplex,1
5.3559,36,6,2,2.073,duplex,1
3.3523,25,5,3,1.708,duplex,0
3.2083,37,6,2,1.952,duplex,1
4.6312,32,6,3,1.848,duplex,1
4.6118,35,6,3,1.917,duplex,1
4.4102,34,7,3,1.832,duplex,1
2.067,31,5,3,1.673,duplex,0
3.6563,33,6,2,1.627,duplex,0
4.0469,34,6,3,1.668,duplex,0
4.5417,33,6,2,1.603,duplex,0
3.2413,31,6,3,1.555,duplex,0
4.0274,36,7,3,1.607,duplex,0
3.7454,35,6,3,1.569,duplex,0
3.7917,35,6,3,1.511,duplex,0
2.8438,33,6,3,1.576,duplex,0
3.1667,36,5,2,1.58,duplex,0
3.5179,36,7,2,1.614,duplex,0
2.8333,34,5,3,1.557,duplex,0
4.1429,33,5,3,1.598,duplex,0
3.4722,34,6,3,1.546,duplex,0
4.119,32,5,2,1.633,duplex,0
2.5192,28,5,3,1.573,duplex,0
3.4115,35,6,3,1.504,duplex,0
3.9803,35,6,3,1.526,duplex,0
3.7578,33,5,3,1.558,duplex,0
2.7361,35,5,2,1.457,duplex,0
4.6364,35,5,2,1.631,duplex,0
3.0904,36,6,2,1.586,duplex,0
4.375,35,6,3,1.565,duplex,0
4.7679,36,6,2,1.539,duplex,0
3.1591,35,6,2,1.483,duplex,0
4.7955,33,6,3,1.581,duplex,0
4.025,34,6,2,1.469,duplex,0
3.7258,32,6,3,1.819,duplex,1
3.7708,34,6,2,1.635,duplex,0
3.5592,36,5,3,1.602,duplex,0
3.8409,34,6,3,1.63,duplex,0
3.3409,34,6,3,1.612,duplex,0
3.494,31,5,3,1.545,duplex,0
3.8864,33,5,2,1.589,duplex,0
2.274,27,4,3,1.508,duplex,0
3.83,35,6,3,1.49,duplex,0
4.0521,35,6,3,1.518,duplex,0
3.3389,33,5,3,1.579,duplex,0
2.1863,23,4,2,1.576,duplex,0
4.2266,33,5,2,1.538,duplex,0
3.871,27,6,3,1.629,duplex,0
3.875,19,5,3,1.356,flat,0
4.2578,22,6,3,1.441,duplex,0
4.1118,35,7,3,1.573,duplex,0
3.975,32,5,2,1.624,duplex,0
3.9219,35,5,2,1.595,duplex,0
3.8581,35,6,2,1.631,duplex,0
4.7917,30,6,3,1.645,duplex,0
4.9342,23,6,3,1.81,duplex,1
4.8854,30,6,2,1.781,duplex,0
4.5554,15,6,3,2.783,house,1
7.6286,33,9,3,3.304,house,1
4.6324,15,6,3,1.688,duplex,0
4.6587,36,6,2,1.619,duplex,0
4.7589,16,6,3,1.782,duplex,0
3.6308,21,6,2,1.921,duplex,1
3.6275,23,5,3,1.541,duplex,0
3.7917,27,5,3,1.311,flat,0
3.9702,27,5,2,1.414,flat,0
3.2799,17,5,3,1.993,duplex,1
5.0704,15,6,2,2.262,duplex,1
3.8201,22,6,3,1.362,flat,0
3.375,35,5,3,1.272,flat,0
3.75,29,6,3,1.906,duplex,1
2.375,33,5,3,1.333,flat,0
2.625,21,5,2,1.911,duplex,1
3.443,18,5,3,1.719,duplex,0
3.8125,36,4,2,1.363,flat,0
3.9375,32,6,3,1.875,duplex,1
4.0324,22,6,3,2.113,duplex,1
4.9271,21,6,2,2.097,duplex,1
3.8125,37,4,2,1.38,flat,0
3.185,30,5,3,1.683,duplex,0
5.065,27,6,3,2.154,duplex,1
5.257,25,7,3,2.261,duplex,1
3.1979,32,5,2,1.839,duplex,1
4.4653,33,6,3,1.932,duplex,1
5.7057,27,7,3,2.621,house,1
6.6988,26,8,2,3.825,house,1
5.2405,21,7,3,3.024,house,1
3.7459,33,6,3,1.529,duplex,0
3.7083,33,6,3,1.655,duplex,0
3.8319,28,6,3,1.79,duplex,0
4.7332,22,6,3,2.899,house,1
6.019,22,7,2,3.249,house,1
7.0778,26,8,2,3.343,house,1
6.2217,27,7,3,3.335,house,1
6.9695,18,8,3,3.604,house,1
4.1328,34,6,3,1.763,duplex,0
4.4038,33,6,3,1.867,duplex,1
4.5163,34,6,3,1.838,duplex,1
6.1552,10,7,3,3.625,house,1
5.6716,15,7,3,3.304,house,1
4.9932,18,7,3,2.84,house,1
5.0142,15,6,3,2.699,house,1
6.7978,24,7,2,3.25,house,1
6.8492,25,9,3,3.322,house,1
5.2852,25,7,3,2.976,house,1
6.2517,25,8,2,3.111,house,1
5.7268,23,7,3,3.003,house,1
5.7407,25,8,3,3.022,house,1
5.5469,16,7,3,2.652,house,1
2.5125,5,5,3,1.845,duplex,1
3.253,20,5,3,1.867,duplex,1
5.4155,23,7,3,2.132,duplex,1
1.9762,52,5,3,1.058,flat,0
0.4999,52,4,2,1.125,flat,0
1.4722,4,4,3,1.375,flat,0
1.7206,27,5,3,1.075,flat,0
2.1908,37,4,2,0.946,flat,0
2.0156,44,5,3,1.125,flat,0
1.625,52,4,2,0.675,flat,0
4.4821,33,7,3,2.201,duplex,1
6.2654,17,7,3,2.738,house,1
5.411,33,6,3,2.194,duplex,1
4.5594,13,6,2,1.845,duplex,1
3.038,33,6,3,1.375,flat,0
2.5275,27,5,3,1.517,duplex,0
3.766,33,5,3,1.639,duplex,0
3.9464,9,5,3,1.796,duplex,0
2.6014,15,5,3,1.503,duplex,0
3.1094,33,5,3,1.36,flat,0
3.4375,42,5,2,1.517,duplex,0
3.0417,24,5,3,1.48,duplex,0
3.4777,33,5,3,1.445,duplex,0
4.0083,37,5,3,1.429,duplex,0
3.6806,29,5,3,1.305,flat,0
6.4576,33,6,3,5.00001,house,1
4.9968,35,7,3,2.95,house,1
6.101,42,7,2,3.118,house,1
5.532,47,7,2,3.185,house,1
6.5254,38,7,2,3.65,house,1
4.2407,40,6,3,2.62,house,1
4.8059,52,7,3,2.706,house,1
4.275,48,6,3,2.568,house,1
3.9125,52,6,3,2.655,house,1
3.875,44,6,3,2.808,house,1
9.4667,32,8,3,5.00001,house,1
6.6888,36,7,2,5.00001,house,1
4.1797,43,7,3,4.868,house,1
3.6,44,7,3,3.074,house,1
7.2419,38,8,3,4.104,house,1
5.0482,45,6,3,3.889,house,1
4.0385,52,6,3,2.657,house,1
5.2865,37,7,3,4.554,house,1
5.9582,38,7,3,3.507,house,1
4.5625,36,6,3,3.768,house,1
3.5694,41,6,3,2.786,house,1
3.6705,46,6,3,2.865,house,1
4.8214,34,6,3,3.625,house,1
4.125,35,6,3,3.3,house,1
7.1615,36,7,2,4.847,house,1
9.8098,39,9,3,5.00001,house,1
8.2004,32,9,3,5.00001,house,1
15.0001,37,9,2,5.00001,house,1
8.9728,39,8,2,5.00001,house,1
3.6341,40,6,3,3.915,house,1
7.0315,42,7,3,4.373,house,1
8.4889,40,7,2,5.00001,house,1
4.7308,44,6,3,3.522,house,1
4.645,22,6,3,2.762,house,1
3.3621,34,6,3,3.772,house,1
15.0001,35,9,3,5.00001,house,1
3.735,23,5,3,2.183,duplex,1
3.292,28,5,3,2.273,duplex,1
2.6316,34,6,3,2.528,house,1
3.9464,32,5,3,2.736,house,1
3.0727,31,5,3,2.426,house,1
4.7159,36,7,3,3.659,house,1
5.2329,33,7,3,4.309,house,1
7.7307,34,7,3,4.29,house,1
4.9583,33,7,3,4.457,house,1
6.1536,37,7,3,3.66,house,1
3.8029,35,6,3,4.148,house,1
5.4555,36,7,3,3.951,house,1
6.5784,38,7,3,4.085,house,1
6.5722,34,7,3,4.374,house,1
2.8352,20,5,3,1.617,duplex,0
3.52,23,5,3,1.873,duplex,1
3.5878,31,5,3,2.228,duplex,1
3.1304,44,5,3,1.856,duplex,1
2.5417,43,5,3,1.783,duplex,0
3.2377,32,5,3,1.841,duplex,1
3.6336,27,6,3,2.352,house,1
2.5625,30,5,3,1.53,duplex,0
3.2841,24,6,3,1.67,duplex,0
1.0548,31,4,3,1.781,duplex,0
3.2723,39,5,3,1.669,duplex,0
3.5481,35,5,3,1.581,duplex,0
2.9605,37,5,3,1.294,flat,0
3.2857,37,5,3,1.301,flat,0
2.5395,35,5,2,1.392,flat,0
3.9219,37,5,2,1.75,duplex,0
4.625,42,6,3,1.738,duplex,0
4.0729,38,6,3,2.123,duplex,1
4.5491,43,6,3,2.148,duplex,1
3.94,32,6,2,2.784,house,1
2.5114,32,5,3,2.122,duplex,1
3.5625,43,6,3,2.116,duplex,1
4.2132,36,6,2,2.122,duplex,1
4.733,36,6,2,2.337,house,1
1.9688,36,6,2,2.26,duplex,1
4.625,39,6,3,2.19,duplex,1
4.4236,38,6,3,2.336,house,1
2.7857,30,6,3,2.017,duplex,1
3.94,31,6,3,2.239,duplex,1
2.9422,32,5,3,2.331,house,1
5.9175,38,7,3,4.169,house,1
5,44,7,2,4.471,house,1
7.1885,37,8,3,5.00001,house,1
5.1509,42,6,3,4.265,house,1
6.0878,39,8,3,4.302,house,1
5.2249,39,8,3,4.452,house,1
6.5989,44,7,2,5.00001,house,1
5.6916,30,8,3,5.00001,house,1
3.55,20,7,3,4.767,house,1
3.6639,25,6,3,2.481,house,1
4.5667,34,6,2,2.715,house,1
4.1875,35,6,2,2.754,house,1
3.2596,48,6,3,2.724,house,1
2.7656,36,6,3,2.395,house,1
3.0854,39,6,3,2.487,house,1
4.8017,39,6,3,2.738,house,1
4.7931,36,6,3,2.726,house,1
3.8646,38,6,3,2.571,house,1
4.3523,42,6,3,2.836,house,1
3.5761,43,6,3,2.567,house,1
3.6995,38,6,2,2.601,house,1
4.1488,38,6,3,2.353,house,1
4.6211,34,6,2,2.489,house,1
4.2321,30,6,3,2.522,house,1
4.0179,42,6,3,2.743,house,1
4.0625,38,6,3,2.625,house,1
4.8594,38,7,3,2.659,house,1
3.244,36,6,3,2.581,house,1
4.2898,40,6,3,2.516,house,1
2.5474,40,5,3,1.981,duplex,1
4.0987,35,5,2,2.024,duplex,1
2.9196,33,5,3,2.088,duplex,1
3.7222,34,5,3,2.072,duplex,1
3.7066,32,5,2,2.068,duplex,1
3.8304,34,6,2,1.83,duplex,1
4.037,35,5,3,1.733,duplex,0
2.8333,32,4,2,1.86,duplex,1
3.5268,23,5,3,1.464,duplex,0
3.4286,32,5,2,1.918,duplex,1
3.6944,29,5,2,1.752,duplex,0
2.6917,24,5,3,1.7,duplex,0
2.8029,29,4,3,1.809,duplex,1
2.4464,32,4,3,1.696,duplex,0
3.4005,34,6,3,1.763,duplex,0
3.6094,29,5,3,1.792,duplex,0
3.8085,27,5,2,1.814,duplex,1
3.4609,35,6,3,1.663,duplex,0
3.994,29,6,3,1.953,duplex,1
3.6531,30,5,3,1.663,duplex,0
2.6071,28,5,3,1.759,duplex,0
4.275,35,6,3,1.736,duplex,0
3.1944,32,4,2,1.817,duplex,1
4.6467,23,6,3,1.851,duplex,1
2.3333,31,4,3,1.642,duplex,0
3.25,37,5,2,1.592,duplex,0
2.9688,42,5,3,1.628,duplex,0
2.3611,52,3,2,1.313,flat,0
2.0433,34,4,2,1.388,flat,0
2.7254,25,4,3,1.435,duplex,0
2.4914,30,4,2,1.592,duplex,0
2.5119,37,4,3,1.805,duplex,1
3.4202,34,5,3,1.891,duplex,1
3.2569,42,5,2,2.015,duplex,1
3.2312,38,5,3,2.119,duplex,1
3.125,19,5,3,2.071,duplex,1
2.806,37,5,3,2.146,duplex,1
3.2373,32,5,3,1.831,duplex,1
2.3929,30,4,2,1.844,duplex,1
3.1042,37,5,3,1.52,duplex,0
2.1453,36,4,3,1.621,duplex,0
3.8125,39,5,3,1.74,duplex,0
2.3098,39,4,3,1.731,duplex,0
2.9334,22,5,3,1.826,duplex,1
2.7721,26,3,2,1.554,duplex,0
2.2559,24,4,3,1.668,duplex,0
2.3236,21,4,3,1.563,duplex,0
2.4706,31,5,3,1.706,duplex,0
2.4875,27,4,3,1.578,duplex,0
2.1383,31,4,3,1.534,duplex,0
3.1875,30,5,3,1.542,duplex,0
3.2132,39,6,3,1.761,duplex,0
2.1781,32,4,2,1.745,duplex,0
2.1406,45,4,2,1.625,duplex,0
3.023,25,4,2,1.42,duplex,0
2.5763,28,4,3,1.739,duplex,0
1.9189,28,4,3,1.659,duplex,0
3.5156,31,5,3,1.993,duplex,1
3.29,32,5,3,2.055,duplex,1
2.5985,34,5,3,1.686,duplex,0
2.6579,32,5,3,1.568,duplex,0
3.7279,36,6,3,1.622,duplex,0
2.6288,28,5,3,1.603,duplex,0
2.5445,24,4,3,1.514,duplex,0
3.0536,34,5,3,1.375,flat,0
3,35,6,3,1.606,duplex,0
3.5,32,5,2,1.651,duplex,0
4.2917,33,6,3,1.612,duplex,0
2.375,36,3,2,1.75,duplex,0
2.2577,26,4,3,1.738,duplex,0
2.5562,34,4,3,1.563,duplex,0
2.7955,36,4,2,1.575,duplex,0
3.5129,36,5,3,1.423,duplex,0
2.1602,31,4,2,1.617,duplex,0
2.3611,28,4,2,1.67,duplex,0
3.0625,33,5,3,1.658,duplex,0
2.8821,28,5,3,1.581,duplex,0
10.2289,34,8,2,5.00001,house,1
7.8588,34,8,3,4.548,house,1
5.5418,36,6,2,3.261,house,1
5.7051,35,6,2,3.26,house,1
7.7108,39,7,2,4.5,house,1
9.532,50,8,2,4.833,house,1
8.7835,52,8,2,4.441,house,1
6.827,36,8,3,3.594,house,1
6.4288,46,7,3,2.955,house,1
4.7269,48,7,3,3.039,house,1
6.1824,36,7,3,2.741,house,1
5.6629,45,6,2,2.34,house,1
4.9312,46,7,3,2.402,house,1
2.92,43,5,3,2.422,house,1
4.73,45,6,3,2.01,duplex,1
5.0953,39,6,2,2.074,duplex,1
3.7932,37,6,2,2.103,duplex,1
4.1518,52,6,2,1.821,duplex,1
4.5,46,6,2,1.842,duplex,1
5.4727,34,7,3,2.389,house,1
3.2216,48,5,2,1.616,duplex,0
3.6094,47,6,3,1.607,duplex,0
4.25,40,6,3,1.779,duplex,0
3.8203,43,6,3,1.76,duplex,0
5.9845,40,8,3,2.417,house,1
9.8413,32,8,3,5.00001,house,1
8.3695,37,8,3,5.00001,house,1
8.72,44,7,3,4.159,house,1
7.419,41,7,2,4.837,house,1
6.553,41,8,3,5.00001,house,1
7.8375,40,7,3,5.00001,house,1
6.7571,42,7,3,4.439,house,1
4.7734,41,7,3,4.508,house,1
8.4802,34,7,3,5.00001,house,1
9.2463,39,9,3,5.00001,house,1
7.0059,39,7,3,5.00001,house,1
5.9771,37,7,3,4.318,house,1
6.3794,35,7,3,5.00001,house,1
6.987,44,7,3,5.00001,house,1
15.0001,48,9,3,5.00001,house,1
15.0001,34,9,3,5.00001,house,1
15.0001,38,9,3,5.00001,house,1
9.0702,43,8,3,5.00001,house,1
9.4987,34,8,3,5.00001,house,1
2.2328,46,5,3,1.421,duplex,0
2.0278,46,6,3,1.275,flat,0
1.8932,44,5,2,1.361,flat,0
2.4135,48,5,3,1.357,flat,0
3.1741,52,6,3,1.638,duplex,0
2.8472,44,6,2,2.188,duplex,1
3.3125,42,5,3,1.549,duplex,0
2.2326,42,5,3,1.492,duplex,0
3.5887,44,6,3,1.535,duplex,0
4.375,38,6,2,1.667,duplex,0
4.0985,45,6,3,1.731,duplex,0
4.0714,42,6,3,2.34,house,1
3.5164,47,6,3,2.265,duplex,1
3.7222,49,6,2,2.37,house,1
2.3967,38,5,3,1.631,duplex,0
5.894,47,7,2,3.009,house,1
5.9009,52,8,3,3.76,house,1
6.3467,44,7,3,3.527,house,1
6.4223,52,7,3,3.109,house,1
4.7241,46,6,2,2.796,house,1
3.2813,48,6,3,2.681,house,1
4.99,50,6,3,2.616,house,1
3.1115,46,6,3,2.346,house,1
3.4777,47,5,3,2.306,house,1
5.8309,52,7,2,3.091,house,1
2.2692,37,5,3,2.25,duplex,1
3.7159,52,6,3,3.154,house,1
3.6094,52,6,3,2.615,house,1
3.9688,52,6,2,1.75,duplex,0
4.0524,52,6,2,1.731,duplex,0
2.7148,42,5,3,1.668,duplex,0
3.3068,50,5,3,1.544,duplex,0
2.3,40,4,2,1.467,duplex,0
2.3029,45,5,3,1.488,duplex,0
1.2891,18,5,2,1.813,duplex,1
2.2765,38,6,3,1.466,duplex,0
1.7321,44,5,3,1.784,duplex,0
3.5909,46,6,3,1.554,duplex,0
4.1518,43,7,3,2.307,house,1
6.07,52,7,2,2.618,house,1
6.6031,19,7,3,5.00001,house,1
7.3715,17,6,2,2.63,house,1
2.575,39,4,3,1.535,duplex,0
1.6921,52,4,3,1.625,duplex,0
2.3654,49,5,3,1.375,flat,0
2.3062,34,5,3,1.58,duplex,0
2.1377,30,4,2,1.423,duplex,0
1.6887,20,5,3,1.486,duplex,0
1.0846,36,4,2,1.464,duplex,0
3.2898,49,5,2,2,duplex,1
2.6217,36,4,3,1.563,duplex,0
2.7201,52,5,3,2.057,duplex,1
2.2095,36,4,3,1.767,duplex,0
2.8125,24,4,3,1.417,duplex,0
1.9923,41,4,3,5.00001,house,1
2.2174,38,4,3,2.154,duplex,1
2.8631,30,5,3,1.886,duplex,1
2.4817,33,4,3,1.695,duplex,0
2.6038,18,5,3,1.556,duplex,0
3.0119,22,4,3,1.714,duplex,0
3.1875,9,4,3,1.731,duplex,0
2.5903,28,4,3,1.25,flat,0
4.7098,52,6,3,2.879,house,1
4,52,6,2,2.504,house,1
3.6719,52,6,3,2.279,duplex,1
2.5664,52,5,3,2.15,duplex,1
4.3083,36,7,3,2.693,house,1
4.2386,44,6,3,2.837,house,1
3.4811,44,6,2,3.005,house,1
3.0417,52,5,3,2.226,duplex,1
5.4223,52,8,3,3.256,house,1
4.2065,52,6,2,3.203,house,1
3.4583,52,5,2,2.399,house,1
2.6172,40,5,3,1.961,duplex,1
3.6474,26,4,2,1.841,duplex,1
3.4167,35,5,3,1.982,duplex,1
5.0237,52,6,3,2.419,house,1
5.3272,46,6,3,3.302,house,1
3.0096,32,5,3,1.99,duplex,1
2.7431,14,5,3,1.775,duplex,0
4.5461,42,6,3,2.424,house,1
2.2321,46,5,3,2.375,house,1
3.5568,52,7,3,2.05,duplex,1
4.3452,49,6,2,2.601,house,1
5.0393,45,7,3,3.211,house,1
6.4761,39,7,2,3.975,house,1
4.2143,35,6,3,3.694,house,1
3.4087,45,5,3,2.092,duplex,1
3.375,42,6,3,2.604,house,1
0.4999,28,8,3,5.00001,house,1
3.1729,45,6,3,2.187,duplex,1
6.1159,52,7,3,4.708,house,1
8.4546,46,9,3,5.00001,house,1
7.4185,35,7,2,5.00001,house,1
3.88,42,6,3,2.811,house,1
5.3377,40,6,3,3.738,house,1
2.8007,45,5,3,2.109,duplex,1
3.5804,45,5,3,3.244,house,1
6.0948,52,8,3,3.587,house,1
3.6572,26,5,3,2.132,duplex,1
4.1324,44,6,2,4.348,house,1
5.8692,52,8,3,4.904,house,1
3.1033,25,4,3,2.179,duplex,1
4.8304,39,6,3,4.932,house,1
3.4531,23,5,3,2.109,duplex,1
3.2643,29,4,3,1.639,duplex,0
3.6997,24,4,3,2.25,duplex,1
2.9511,17,4,3,2.823,house,1
3.875,27,4,3,2.583,house,1
1.625,52,4,3,1.875,duplex,1
8.2435,27,7,3,5.00001,house,1
7.4817,41,7,3,5.00001,house,1
11.7894,45,8,2,5.00001,house,1
7.9213,44,7,2,4.778,house,1
6.1953,39,7,3,3.63,house,1
7.7116,38,7,3,3.609,house,1
