BatteryPower,InternalMemory,ClockSpeed,NoOfCores,RAM,TalkTime,DualSim,3G,4G,WiFi,Bluetooth,MobileDepth,MobileWeight,TouchScreen,ScreenHeight,ScreenWidth,FrontCameraPx,RearCameraPX,PxHeight,PxWeight,PriceRange
1611,3,0.5,3,1595,9,1,1,0,1,1,0.6,98,0,8,4,11,14,303,714,Medium
793,30,1,2,2332,14,1,1,1,1,0,0.9,133,1,17,13,5,15,1858,1935,High
1220,62,2.9,4,2589,15,0,1,0,1,0,0.5,125,1,19,11,3,8,403,1933,High
1662,61,0.5,4,3760,13,0,1,1,1,0,0.8,126,1,9,5,0,13,32,1509,VeryHigh
1281,8,2.8,4,1851,9,1,1,1,0,1,0.3,144,1,8,2,3,19,590,954,Medium
538,2,0.8,7,417,9,0,1,1,1,0,0.8,177,0,8,4,12,13,235,662,Low
823,39,0.5,8,294,11,0,0,0,1,1,0.4,187,0,13,9,0,4,630,888,Low
1733,36,2.8,6,3576,9,0,1,1,0,1,1,119,0,17,16,3,20,357,527,VeryHigh
1429,40,1.5,3,3945,18,1,1,1,1,0,0.9,100,0,11,7,0,14,246,820,VeryHigh
1839,54,1.2,7,927,18,0,1,1,1,1,0.5,200,0,19,10,9,11,475,1493,Medium
659,6,2.7,3,2044,2,0,1,1,1,0,0.5,110,0,15,5,6,7,1054,1929,Medium
1953,56,2.1,8,2334,4,1,1,0,0,1,0.1,158,0,11,5,7,9,555,764,High
1172,27,1.9,1,1477,6,0,1,1,0,0,0.7,164,0,12,0,0,3,607,1092,Medium
612,16,1.9,7,3161,3,1,0,0,0,1,0.3,102,0,8,4,6,7,1360,1891,VeryHigh
1563,24,2.4,8,3660,5,0,1,1,0,0,0.2,170,1,7,5,0,0,142,1699,VeryHigh
1191,26,1.3,1,1604,9,1,1,1,1,0,0.8,84,0,14,3,16,20,681,683,Medium
615,42,0.5,6,2211,18,1,0,0,1,1,0.6,163,0,7,4,0,4,104,1664,Medium
1893,63,2.1,2,3822,18,1,0,0,1,1,0.2,134,1,14,3,8,11,637,763,VeryHigh
1563,16,1.7,7,3922,8,1,0,0,1,0,0.1,151,0,11,1,10,13,410,572,VeryHigh
1995,9,1.9,6,1203,18,0,1,0,1,1,0.8,139,1,14,12,6,18,1830,1963,High
1517,48,0.5,5,2822,11,0,1,1,1,0,0.6,143,1,15,5,6,14,802,1489,VeryHigh
832,34,1.6,5,447,12,1,1,1,0,0,0.3,108,1,15,13,1,5,311,1294,Low
1162,56,2,7,1652,20,0,1,1,0,0,0.7,114,0,5,0,0,1,56,997,Medium
1595,12,2.6,8,3608,16,0,0,0,0,1,0.3,121,1,15,1,7,19,344,655,VeryHigh
1329,52,1,6,1228,6,0,1,0,1,1,0.9,181,0,8,6,1,2,1053,1458,Medium
928,56,0.5,8,666,5,1,0,0,0,1,0.7,80,1,19,10,11,13,221,1243,Low
1656,38,0.5,7,1499,19,1,1,1,1,1,0.1,105,0,12,8,8,17,506,519,Medium
1937,58,1.7,1,3321,14,0,1,0,0,1,0.6,189,1,5,4,17,19,1728,1767,VeryHigh
977,57,1.1,6,1206,8,1,0,0,1,1,0.6,181,1,7,1,2,7,63,566,Low
768,56,0.9,1,952,16,0,1,1,1,1,0.1,113,0,19,3,16,20,418,515,Low
1464,12,0.5,2,3927,15,1,0,0,1,1,0.9,117,1,5,3,11,14,854,1168,VeryHigh
1177,29,0.9,2,311,19,0,1,1,0,0,0.4,191,0,18,5,1,8,178,882,Low
1348,52,2,3,955,7,0,1,0,1,0,0.3,98,1,18,11,18,20,1869,1942,Medium
1956,37,2.2,3,1109,19,0,1,1,0,0,0.5,87,1,13,1,0,2,185,776,Medium
1751,8,0.5,6,2969,17,1,0,0,1,0,0.6,178,0,8,6,6,20,170,564,High
1530,42,2,6,725,19,0,0,0,1,0,0.8,177,0,11,10,11,13,454,1975,Low
1997,40,1.8,4,1655,15,1,1,0,0,1,0.5,185,0,7,6,1,8,866,1212,High
1414,44,1.5,2,3490,13,1,0,0,0,1,0.5,180,1,16,12,5,6,44,1118,VeryHigh
1707,41,1.4,7,1774,10,0,0,0,0,0,0.8,80,0,12,0,0,2,1331,1388,High
894,50,0.5,3,3615,6,1,1,1,1,0,0.5,199,0,13,0,1,14,1285,1462,VeryHigh
645,41,1.2,8,714,13,0,1,1,0,0,0.7,184,1,18,2,6,17,741,1130,Low
1163,49,2.8,2,2768,12,1,0,0,1,0,0.6,155,0,19,2,0,0,520,754,High
1126,49,0.7,8,3739,13,0,1,0,0,0,0.9,165,0,14,1,3,17,114,1726,VeryHigh
1648,64,0.7,4,610,6,0,1,1,0,0,0.8,170,1,8,1,6,9,1153,1876,Medium
1170,14,0.9,2,715,20,0,1,1,1,1,0.4,199,0,18,5,6,13,474,709,Low
508,42,0.8,1,663,7,0,1,1,0,0,0.3,94,0,13,12,7,8,39,557,Low
1097,64,2.1,3,1725,9,1,1,0,1,0,0.2,161,0,14,5,6,8,419,1914,Medium
728,5,1.7,2,834,5,1,1,1,0,0,0.6,101,1,16,0,0,20,584,775,Low
1980,29,0.5,1,3865,18,1,1,1,0,0,0.8,177,0,12,10,2,13,312,1910,VeryHigh
1504,64,2.3,1,3059,10,1,0,0,0,0,0.9,182,1,6,5,1,2,19,1923,VeryHigh
1379,63,2.1,1,651,7,1,1,1,0,1,1,83,1,9,6,14,17,207,1370,Low
1698,18,2.1,6,796,14,0,1,1,1,0,0.9,160,0,13,3,5,20,363,994,Low
920,25,2.1,7,785,5,1,0,0,1,0,0.4,115,1,10,7,5,14,209,1078,Low
1144,21,1.5,1,3252,8,1,0,0,0,1,0.4,189,0,16,0,0,11,159,724,High
1995,26,0.5,1,1322,7,0,0,0,1,1,0.2,129,1,15,11,6,15,649,1104,Medium
1430,27,0.5,1,2832,15,1,0,0,1,0,0.5,183,1,7,1,1,16,1132,1182,High
972,13,0.5,5,1615,13,1,0,0,0,1,0.4,193,1,11,6,5,8,1392,1795,Medium
662,20,0.5,1,2125,15,0,0,0,1,0,0.8,138,1,17,15,5,10,1001,1224,Medium
1867,9,2.3,6,990,2,0,1,1,1,0,0.1,191,0,6,1,0,3,712,1442,Medium
1730,20,2,4,1595,12,1,1,1,0,0,0.1,143,1,14,0,0,10,418,1023,Medium
1723,7,1,3,1213,16,0,1,1,1,1,0.6,126,1,5,0,1,17,384,1361,Medium
1882,47,1.3,2,2500,11,1,0,0,1,1,0.2,140,0,17,1,8,13,119,652,High
803,18,0.8,4,2801,12,1,0,0,0,0,0.3,106,1,18,15,0,1,627,935,High
580,47,1.2,3,3451,11,1,1,0,0,1,0.9,91,1,15,1,0,1,1086,1345,VeryHigh
668,48,2.3,1,1201,4,0,1,1,0,0,0.3,114,1,14,12,2,19,195,1292,Low
1391,36,1.4,1,3139,14,0,1,1,0,0,0.8,182,1,14,7,2,6,14,1256,High
1560,22,2.3,7,1938,16,0,1,1,1,0,0.8,169,1,15,11,0,1,745,1364,High
821,54,1.8,3,3185,15,1,1,0,0,0,0.1,109,0,8,4,5,9,253,1786,High
811,2,2.4,6,2111,2,1,1,1,1,1,0.3,106,0,18,7,5,13,333,1429,Medium
1989,17,2.9,8,2369,18,1,1,0,0,1,0.1,193,1,7,0,8,15,629,682,High
1034,37,2.7,7,3625,12,1,0,0,1,1,0.7,120,1,17,1,6,20,707,1199,VeryHigh
618,6,2.1,1,1051,15,0,0,0,1,0,0.3,86,0,13,10,2,4,1314,1688,Low
654,52,1.3,4,1036,13,0,1,1,0,1,0.7,196,0,17,4,0,4,1715,1898,Medium
576,10,2.8,5,2938,5,0,1,1,1,1,0.2,184,1,6,0,2,7,513,1438,High
667,3,0.6,6,2855,19,0,1,1,1,1,0.7,185,0,5,0,6,13,13,1463,High
869,57,1,1,2727,8,0,1,1,0,1,0.6,118,0,13,3,7,15,1243,1584,High
635,42,0.5,3,2973,18,1,0,0,1,1,0.4,149,0,12,5,2,4,300,1059,High
609,44,3,1,2581,15,0,1,1,1,1,0.3,117,0,15,11,15,16,58,1253,Medium
1557,2,2.8,5,2690,9,1,0,0,1,0,0.1,123,0,18,16,16,20,1107,1442,VeryHigh
1604,33,1.7,8,916,12,0,0,0,1,1,1,191,1,13,10,2,5,134,939,Low
1182,8,0.5,8,2563,19,0,1,1,0,0,0.5,138,0,19,17,7,16,275,986,High
848,19,2.1,7,3359,14,1,1,1,0,1,0.8,148,0,10,0,10,18,176,1029,High
1610,64,2.9,4,941,9,0,1,1,0,1,0.9,181,1,8,4,7,12,1236,1280,Medium
1828,17,2.1,1,2280,4,1,0,0,0,1,0.9,199,0,17,14,0,1,336,898,High
880,50,2,7,827,6,1,1,1,1,0,0.5,194,0,15,9,1,3,1116,1381,Low
1394,62,0.9,5,473,20,1,1,1,0,1,0.3,175,1,11,1,10,13,1010,1565,Low
1960,61,2.3,7,3865,11,1,1,1,0,1,0.3,86,0,10,7,1,3,205,1299,VeryHigh
809,21,0.8,7,1274,3,0,0,0,0,0,0.9,91,0,18,7,10,19,1453,1726,Medium
899,57,0.5,2,364,7,1,1,1,0,0,0.9,172,1,11,1,13,18,788,1331,Low
1976,32,0.7,2,3699,13,1,0,0,1,1,0.8,171,1,17,11,4,7,1301,1922,VeryHigh
879,21,1.5,4,2927,11,1,1,1,1,0,0.8,187,0,14,13,0,2,463,1038,High
916,36,2.6,4,1470,14,0,0,0,0,1,0.3,195,1,13,0,0,12,188,992,Low
763,2,1.7,8,1050,8,1,1,1,0,0,0.5,92,1,6,4,8,14,1028,1186,Low
508,9,1.6,6,2616,10,1,1,0,1,0,0.4,162,1,18,8,0,2,1419,1920,High
825,34,2.9,8,2915,10,1,1,0,0,0,0.8,99,1,8,2,0,17,1471,1866,VeryHigh
1864,46,1.4,1,2686,18,0,1,1,1,0,0.7,178,1,11,7,8,12,168,981,High
1725,52,0.5,6,1243,5,1,1,1,1,0,1,185,1,19,18,8,12,1125,1195,Medium
1108,52,2.9,2,3264,13,0,0,0,1,1,0.1,183,1,16,1,10,12,130,1706,VeryHigh
1011,36,1.1,7,2261,16,0,1,1,1,0,0.2,131,1,7,6,4,18,481,749,Medium
1703,55,1.5,5,2993,20,1,1,1,1,1,0.7,138,1,5,1,17,19,1411,1711,VeryHigh
1067,58,1.7,7,706,16,1,0,0,0,1,0.5,135,1,12,9,0,0,79,681,Low
1334,42,2.4,5,2542,8,0,1,1,0,1,0.6,115,0,10,1,5,14,1187,1974,VeryHigh
775,30,2.6,7,2523,9,0,1,0,1,1,0.4,189,0,17,16,0,10,561,1510,High
1899,26,0.6,2,336,4,0,1,0,1,1,0.1,151,0,13,11,0,0,96,814,Low
930,14,1.3,6,2457,17,1,1,1,0,1,0.4,97,1,11,7,1,10,77,1025,Medium
1058,19,1.5,4,418,16,0,0,0,1,0,0.4,166,0,9,7,2,14,493,1247,Low
1187,46,2.2,2,3917,8,0,1,1,1,1,0.4,145,0,13,11,0,9,1173,1814,VeryHigh
1874,8,2.7,7,1246,2,1,0,0,1,1,0.9,166,0,8,1,10,13,964,1233,Medium
1482,48,0.5,7,2971,12,0,1,0,1,0,0.2,142,1,12,8,2,10,634,642,High
1809,59,1.7,3,2324,16,0,1,1,1,1,0.1,174,0,10,6,3,4,639,721,High
864,54,3,2,3121,16,1,1,1,1,1,0.7,187,1,18,2,0,1,127,1670,High
625,33,1.9,1,3801,2,0,1,1,0,1,0.2,191,0,10,6,12,20,431,550,High
1880,18,1.8,3,3333,7,0,1,1,0,1,0.7,138,0,17,15,4,5,71,699,VeryHigh
1138,44,1.4,8,3475,3,0,1,1,0,0,0.2,187,0,19,3,12,17,111,1138,VeryHigh
560,23,0.5,8,2360,18,0,0,0,1,0,1,146,1,17,16,14,15,356,1903,Medium
1117,12,0.5,7,2895,16,0,1,0,0,0,0.6,144,1,7,6,1,8,798,817,High
1712,63,1.4,7,3652,19,0,1,0,0,0,0.5,137,0,16,1,1,12,747,1126,VeryHigh
1836,26,1.7,6,3097,18,1,0,0,0,1,0.1,134,1,5,0,3,16,408,1139,VeryHigh
1036,39,2.4,7,2101,2,0,0,0,0,1,0.2,119,1,10,7,0,3,373,926,Medium
1860,23,2.3,4,3918,8,0,0,0,0,1,0.6,162,1,9,2,15,16,1362,1506,VeryHigh
1375,9,1.1,7,3869,10,0,1,1,1,1,0.9,145,1,19,18,3,19,475,726,VeryHigh
1945,57,1.6,4,732,14,1,1,1,0,0,0.3,195,1,14,1,0,1,743,1753,Medium
1896,7,0.5,2,3684,18,1,1,1,0,0,0.4,141,0,9,7,8,13,447,794,VeryHigh
788,57,2.5,8,3969,6,1,1,1,1,0,0.9,91,1,12,8,4,12,42,1161,VeryHigh
880,33,1.7,2,1414,7,1,1,0,0,1,0.7,173,1,12,1,0,2,30,1350,Low
1323,28,2.5,4,1892,15,1,1,1,1,1,0.2,131,1,10,0,10,12,162,619,Medium
1868,42,2,1,3131,7,1,1,1,1,0,0.2,169,1,8,3,0,4,347,660,VeryHigh
1266,7,1.9,3,2532,4,1,1,1,1,0,0.2,184,1,10,5,0,12,346,1468,High
1042,50,2.7,7,3215,20,1,1,1,1,0,0.8,93,1,18,0,16,18,727,1705,VeryHigh
1479,19,0.5,3,3323,6,0,1,0,1,0,0.6,156,0,13,12,8,10,180,1476,VeryHigh
1476,55,1.2,4,1529,3,1,1,1,1,1,0.1,171,0,13,8,0,5,1641,1666,High
1552,13,2.2,6,2403,9,0,1,1,1,1,0.2,123,1,9,2,6,9,269,1026,High
1454,34,0.5,4,3419,5,1,1,0,0,1,0.7,83,1,7,5,1,3,250,1033,VeryHigh
1007,45,2,5,3648,16,0,0,0,0,0,0.1,95,0,9,0,0,2,1186,1529,VeryHigh
652,17,2.4,5,1974,12,1,1,1,0,1,0.7,173,0,12,10,9,11,77,559,Low
1504,34,1.5,8,2806,7,0,1,1,1,0,0.7,142,0,7,2,12,15,507,973,High
1726,51,0.9,4,2239,13,1,1,0,1,1,0.6,193,0,13,9,2,3,379,1223,High
1029,5,1.9,5,582,4,1,1,1,1,1,0.2,171,1,15,7,5,8,264,956,Low
1582,44,2.8,6,3890,10,0,1,1,1,0,0.5,112,1,17,10,2,13,1486,1797,VeryHigh
1478,48,0.8,5,1141,6,1,0,0,1,1,0.7,99,0,5,2,12,17,694,882,Medium
1178,49,1.3,5,2511,17,0,0,0,0,1,0.6,101,0,6,3,0,0,579,596,High
707,25,2.1,3,3838,7,1,1,0,1,0,0.8,131,0,9,2,2,17,495,574,VeryHigh
755,51,2.8,4,2734,16,0,1,1,1,1,0.3,186,0,10,1,5,12,315,990,High
912,54,2,8,2330,20,0,0,0,0,1,0.3,161,1,19,5,1,5,329,1053,Medium
651,63,0.8,5,2244,19,1,1,1,0,1,0.2,176,1,14,9,2,4,548,858,Medium
1483,54,2.1,7,1851,2,0,1,1,0,0,0.2,176,1,15,13,1,2,531,758,Medium
914,4,0.9,2,808,5,0,1,0,0,1,0.8,100,1,11,7,2,12,191,1495,Low
1456,7,0.5,5,1587,20,1,1,0,1,1,0.4,105,0,6,5,7,12,823,1104,Medium
1178,57,2.2,3,2492,10,1,1,0,0,0,0.3,84,1,16,14,6,17,96,1352,High
1503,43,0.7,4,2122,2,0,1,1,0,1,0.2,166,0,15,1,10,14,841,1304,High
1681,11,2.5,2,1122,16,0,0,0,1,1,0.4,158,1,12,6,2,13,195,1205,Low
715,48,2.3,4,3709,10,1,0,0,0,0,0.1,160,0,14,2,4,6,21,562,High
1876,56,2.8,3,3021,18,1,1,1,0,0,0.4,182,0,12,2,3,4,235,585,High
1190,47,2.2,6,624,19,1,1,0,1,1,0.3,186,1,9,3,9,10,1417,1441,Low
1755,24,1.3,7,3937,7,0,1,1,1,1,0.1,134,0,8,1,0,2,286,1075,VeryHigh
1197,20,1.3,6,1797,4,0,1,1,1,0,0.5,149,1,19,5,3,7,649,1629,Medium
1048,28,0.9,2,1458,15,0,1,1,1,1,0.8,194,0,5,1,10,19,966,1975,Medium
1887,17,3,8,3348,16,1,1,1,0,1,0.2,126,1,18,16,6,7,1172,1798,VeryHigh
1772,64,0.5,8,1834,20,1,0,0,1,1,0.7,116,1,5,2,3,15,270,545,Medium
1421,57,2.8,1,2775,14,0,1,1,1,0,0.4,165,0,13,8,0,2,781,1657,VeryHigh
1464,17,0.5,6,1277,19,1,1,1,0,0,0.7,153,0,13,6,0,8,418,1341,Medium
728,23,2.3,4,457,16,1,1,0,1,0,0.8,111,1,17,10,4,5,126,817,Low
954,50,0.5,2,438,2,0,1,0,0,1,0.3,134,0,17,0,0,11,228,1058,Low
685,13,0.5,7,3210,2,1,1,1,1,0,0.8,82,1,15,7,8,15,1091,1203,VeryHigh
1472,36,2.8,6,985,7,1,1,0,0,0,0.5,130,1,12,11,1,10,1452,1744,Medium
853,3,2,2,3701,8,0,1,1,0,1,0.6,200,1,15,8,10,16,674,740,VeryHigh
1469,8,2.1,7,1052,3,0,0,0,0,0,0.7,123,1,8,1,0,0,398,1133,Low
1310,57,2.3,8,1175,8,1,0,0,0,1,0.9,135,0,16,0,6,9,449,889,Low
1654,11,1.8,7,1070,14,0,1,0,1,0,0.3,146,1,8,1,1,2,1184,1719,Medium
902,3,0.7,7,3411,15,0,0,0,1,1,0.3,134,0,12,11,3,9,675,1285,VeryHigh
1448,26,1.4,3,1175,6,1,0,0,0,0,1,156,1,12,9,13,16,1792,1850,Medium
1631,3,0.9,7,301,13,1,1,1,0,0,0.1,198,0,13,5,2,12,177,1905,Low
1608,28,1.8,2,489,8,1,0,0,1,0,0.4,183,0,15,11,7,13,1013,1158,Low
1991,64,2.7,2,1733,8,0,1,1,0,1,0.9,145,1,5,3,5,13,1058,1325,High
1349,62,2,5,2756,4,1,1,0,0,0,0.3,114,0,11,3,15,16,592,772,High
1589,51,2.5,1,2612,16,0,1,1,0,0,0.8,195,0,8,2,5,18,810,1743,High
1844,51,2.3,8,1724,14,1,0,0,1,1,0.7,158,1,5,1,1,3,533,882,Medium
712,35,0.5,2,2190,4,1,1,1,1,1,0.2,84,1,16,12,3,10,558,1208,Medium
972,54,1.7,3,1900,19,0,1,1,1,1,0.7,107,0,16,8,0,4,681,1050,Medium
1406,34,0.5,3,3915,2,1,1,1,1,0,0.8,98,0,9,8,2,5,1017,1366,VeryHigh
1289,25,0.9,6,1043,11,0,1,1,0,0,1,178,1,6,2,10,12,765,899,Low
932,64,1.3,7,3817,9,0,1,0,1,0,0.7,154,1,8,7,1,2,1176,1224,VeryHigh
1747,48,0.9,3,2362,19,0,1,1,0,1,0.7,94,1,17,2,6,19,947,1131,High
1172,41,2.1,3,1107,5,1,0,0,0,1,0.1,95,0,7,3,4,7,1314,1884,Medium
1128,53,1.4,5,2982,12,0,1,0,0,1,0.4,84,1,14,9,12,14,609,1370,VeryHigh
664,28,1.2,5,2042,19,1,1,0,0,0,0.9,106,1,17,15,0,5,754,1497,Medium
513,44,0.5,4,1343,9,0,1,1,0,1,0.1,186,1,5,1,6,12,619,867,Low
1742,43,2.3,7,2610,10,1,1,1,1,0,0.4,170,0,12,3,9,12,453,681,High
1512,6,1.7,7,2335,7,0,1,0,1,1,0.7,162,1,15,7,12,17,205,884,High
1986,51,0.5,8,1614,3,1,1,1,1,0,0.1,165,1,17,12,3,20,282,1358,Medium
965,13,1.5,2,1138,10,1,0,0,0,1,1,109,1,9,8,5,14,130,998,Low
1067,40,2.4,8,604,11,1,1,1,0,1,0.6,122,0,16,14,3,15,494,1989,Low
1583,42,1.6,3,3652,9,0,1,1,0,1,0.8,118,0,14,10,5,10,275,862,VeryHigh
1653,37,0.5,4,3955,18,1,1,1,1,0,0.9,176,1,19,4,2,6,447,1785,VeryHigh
1433,4,1.6,8,258,4,0,1,0,1,0,0.7,133,1,11,9,7,11,281,799,Low
765,18,2.9,7,1066,16,0,1,1,0,0,0.1,153,1,11,1,0,0,6,793,Low
1845,61,0.5,1,1731,6,1,0,0,0,1,0.3,96,0,9,5,10,12,292,695,Medium
752,48,0.5,7,3860,16,1,0,0,0,0,0.7,87,0,7,5,1,13,164,728,VeryHigh
1948,16,2.8,5,3630,17,1,0,0,0,0,0.1,100,1,9,7,8,10,631,1940,VeryHigh
1077,45,2.5,3,1965,6,1,1,1,0,0,1,174,1,6,2,0,4,897,1304,Medium
932,60,0.5,4,1459,19,0,1,1,0,1,0.7,104,1,6,1,1,2,268,1078,Low
1968,22,0.9,3,2323,7,0,0,0,1,0,0.8,115,0,9,8,0,7,861,1259,High
1122,2,1.2,4,3291,13,0,1,0,1,0,0.6,120,1,11,2,9,14,331,790,High
1588,61,0.5,1,3272,17,0,1,1,0,0,0.8,159,1,18,0,0,13,1064,1594,VeryHigh
601,26,2.1,4,918,12,0,0,0,0,0,0.3,101,0,9,1,4,18,509,548,Low
1615,15,0.5,4,3488,3,0,0,0,1,0,0.1,132,0,16,2,14,16,622,1256,VeryHigh
1589,58,2.2,4,3961,14,1,1,0,1,1,0.1,128,0,16,14,2,4,957,1911,VeryHigh
1417,56,2.7,6,590,6,0,1,1,1,1,0.9,114,0,11,3,2,4,494,1649,Low
1697,34,0.7,1,3701,8,0,1,1,0,1,0.1,95,1,15,9,1,3,236,1264,VeryHigh
1330,3,1.3,5,463,11,1,0,0,1,1,0.3,83,0,14,6,14,17,980,1262,Low
1476,43,0.5,2,3644,6,0,1,1,1,0,0.7,148,0,15,10,0,2,1789,1972,VeryHigh
1579,27,1.5,6,1713,10,0,1,0,1,1,0.2,142,1,16,4,0,18,831,1484,Medium
1277,41,3,4,429,14,0,1,1,1,0,0.3,200,1,9,4,0,3,902,1090,Low
1089,2,0.9,5,2765,10,1,1,1,1,1,0.7,145,0,13,12,12,15,636,1259,High
1663,27,2.5,4,2084,18,1,1,1,0,1,0.3,169,0,7,1,13,14,831,1439,High
1949,20,1.8,5,1125,9,0,0,0,0,0,0.8,186,0,17,10,0,4,518,592,Medium
1138,48,1.1,3,2048,18,0,1,1,1,0,0.6,109,1,6,0,5,14,233,1777,High
685,17,2.7,6,1223,18,0,1,0,1,0,0.3,174,0,8,0,7,20,725,870,Low
1889,31,2.8,1,3672,3,0,1,1,1,0,1,132,1,5,1,5,10,170,1106,VeryHigh
857,17,2,7,3100,13,1,1,0,0,1,0.2,195,1,17,5,3,9,157,948,High
1902,50,2.8,8,343,18,1,0,0,0,0,0.8,124,1,11,8,6,9,1142,1393,Low
1225,15,2.4,5,1970,15,0,1,0,0,1,0.1,155,1,16,8,0,0,840,982,Medium
1066,39,1.6,5,2728,17,0,1,0,1,0,0.6,131,1,6,0,5,17,401,1586,High
1554,5,0.5,3,3635,18,1,0,0,0,1,1,124,0,7,4,11,12,395,1579,VeryHigh
1337,31,0.5,2,2180,16,0,1,0,1,0,0.8,186,0,7,4,13,20,48,644,Medium
1926,33,1.7,3,2488,14,1,1,1,0,1,0.4,172,0,6,1,1,2,982,1157,High
869,34,1.3,2,3864,11,1,1,0,0,0,0.1,104,0,13,3,3,4,478,539,VeryHigh
1278,54,0.5,8,1155,20,1,0,0,1,1,0.1,104,0,7,1,1,16,581,750,Low
1773,32,2.5,6,3566,13,0,1,1,1,1,0.6,170,0,17,6,16,18,1215,1472,VeryHigh
1661,6,0.8,7,864,2,1,1,1,1,1,1,109,0,9,8,1,2,594,1337,Medium
1438,32,2.2,7,869,9,0,1,1,1,0,0.6,176,1,19,13,0,6,683,1663,Low
1661,29,1.4,2,591,9,0,1,0,1,1,0.3,119,1,9,2,0,0,536,861,Low
1846,19,0.6,1,1333,11,0,0,0,1,1,0.7,159,1,15,6,1,2,83,773,Medium
1260,23,2,7,2208,10,1,1,1,1,1,0.2,123,0,12,11,2,10,905,1313,High
512,15,0.5,3,2610,15,1,0,0,1,1,0.9,83,1,18,14,7,15,249,1849,High
581,59,2.2,5,2819,9,0,0,0,1,0,0.7,185,0,19,17,0,6,803,1613,High
1872,44,2.3,3,1955,15,0,1,0,1,1,0.7,134,0,9,4,6,15,459,1259,High
687,50,1.3,4,3416,8,0,1,1,0,1,0.6,151,1,14,6,9,20,584,1151,VeryHigh
1062,10,2.5,1,3803,16,1,0,0,1,1,0.9,160,0,7,3,6,13,1596,1807,VeryHigh
1678,7,2.3,1,574,19,1,1,0,0,1,0.5,192,0,5,3,11,14,418,1763,Low
1417,45,0.5,4,2129,12,0,1,1,1,1,0.9,166,0,13,9,10,19,364,1029,Medium
1074,9,2.4,6,1948,18,1,1,1,1,0,0.9,103,1,13,1,2,14,946,952,Medium
1832,2,0.7,7,2978,18,0,0,0,0,0,0.6,90,0,18,7,2,6,186,654,High
1039,12,1.3,8,1619,10,0,1,1,1,0,0.8,200,1,7,1,0,0,1428,1827,Medium
1059,61,2.4,3,3716,11,0,1,0,0,0,0.1,134,1,15,13,8,18,1613,1916,VeryHigh
1606,57,1.4,4,3454,20,0,0,0,1,0,0.1,154,0,13,8,3,4,1127,1924,VeryHigh
1928,19,1.8,3,3777,13,0,1,1,1,1,1,187,1,7,2,9,20,691,1580,VeryHigh
1875,55,0.5,1,2712,6,1,1,1,1,1,0.7,91,0,7,2,11,17,1802,1942,VeryHigh
1128,46,1.1,8,1434,11,0,1,1,0,1,0.9,135,0,5,0,9,10,751,1582,Medium
1748,14,1.7,3,3968,3,1,1,1,1,0,0.5,146,0,16,12,6,7,859,1234,VeryHigh
1413,51,0.5,5,3383,2,1,0,0,0,0,0.3,117,0,16,5,5,11,187,517,VeryHigh
825,23,0.5,2,3278,2,1,1,1,1,0,0.1,86,0,8,6,0,0,206,1917,VeryHigh
1589,26,1.4,8,3970,18,0,1,1,1,1,0.1,100,0,16,8,3,16,1673,1759,VeryHigh
535,54,0.5,8,2674,10,1,1,1,0,1,0.5,145,0,14,8,8,15,710,939,High
1780,27,0.5,4,2776,14,0,1,0,1,1,0.1,190,1,19,17,6,11,1331,1463,VeryHigh
1671,61,0.6,2,2336,7,1,1,1,0,0,0.1,129,0,10,4,7,11,263,848,High
1821,12,0.9,1,2430,6,0,1,1,1,0,0.3,114,1,7,4,9,18,97,1803,High
1076,38,2.6,6,891,9,0,1,1,0,1,0.7,119,1,18,3,3,8,129,915,Low
532,8,0.8,5,728,8,1,1,0,0,1,0.1,193,1,13,5,3,10,1213,1354,Low
777,30,2.6,5,3886,7,0,1,0,0,1,0.9,148,0,14,10,3,17,189,1143,VeryHigh
1217,17,0.5,4,1711,9,0,1,0,1,1,0.5,182,0,7,3,3,13,628,632,Medium
1656,16,1.6,7,2856,20,1,1,0,1,1,1,117,1,14,3,0,2,320,899,High
1185,31,1.9,8,2447,3,0,1,0,1,0,0.4,152,1,16,2,0,7,837,1642,High
577,37,2.4,6,814,19,0,1,1,1,0,0.9,161,1,11,7,8,20,1087,1450,Low
737,49,2.4,4,2951,10,1,0,0,0,1,0.6,193,1,7,0,7,16,781,1463,High
704,53,2.2,6,3653,15,1,1,0,1,0,0.2,186,1,7,1,4,6,251,1013,High
525,51,0.5,8,1891,12,1,0,0,0,1,0.5,137,1,18,3,5,11,262,1587,Medium
504,16,0.5,1,701,15,1,1,0,1,1,0.1,166,0,17,15,5,9,767,1665,Low
793,38,1.2,4,3139,12,1,1,1,1,0,0.6,176,1,6,1,1,7,1226,1815,VeryHigh
569,39,0.6,8,2811,7,1,1,0,1,0,0.1,184,0,7,6,2,9,389,739,Medium
1590,21,1.9,5,1701,4,1,1,1,1,0,1,160,0,11,4,3,18,920,963,Medium
707,16,0.5,2,1853,12,0,1,1,1,0,0.1,194,1,17,14,0,0,1027,1508,Medium
767,19,1.9,6,2445,6,0,1,1,1,0,0.2,185,1,6,1,16,17,271,1000,Medium
1350,50,0.5,8,2287,8,1,1,1,0,1,0.8,181,1,15,1,0,4,369,544,Medium
1117,31,0.6,2,2003,14,1,0,0,1,1,0.2,146,1,8,7,0,7,1258,1627,High
641,7,1.1,1,3595,19,0,1,1,1,1,0.9,192,1,7,5,0,3,417,759,High
