Song_Name,Artist,Album,Playlist,Popular,Popularity,Duration,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Audio_Mode,Speechiness,Tempo,Time_Signature,Audio_Valence
Me and Julio Down by the Schoolyard,Paul Simon,Paul Simon,70s & 80s Acoustic,1,71,164813,0.237,0.626,0.816,1.80E-06,9,0.104,-10.593,1,0.13,105.33,4,0.798
Me and Julio Down by the Schoolyard,Paul Simon,Paul Simon,Good Times_ Great Oldies,1,71,164813,0.237,0.626,0.816,1.80E-06,9,0.104,-10.593,1,0.13,105.33,4,0.798
Me and Julio Down by the Schoolyard,Paul Simon,Paul Simon,Have a Great Day!,1,71,164813,0.237,0.626,0.816,1.80E-06,9,0.104,-10.593,1,0.13,105.33,4,0.798
You Can Call Me Al,Paul Simon,Graceland (25th Anniversary Deluxe Edition),Have a Great Day!,1,75,280000,0.182,0.776,0.763,0.0065,5,0.077,-8.124,1,0.0535,128.433,4,0.82
You Can Call Me Al,Paul Simon,Graceland (25th Anniversary Deluxe Edition),Songs to Sing in the Shower,1,75,280000,0.182,0.776,0.763,0.0065,5,0.077,-8.124,1,0.0535,128.433,4,0.82
You Can Call Me Al,Paul Simon,Graceland (25th Anniversary Deluxe Edition),ThrowbackThursday,1,75,280000,0.182,0.776,0.763,0.0065,5,0.077,-8.124,1,0.0535,128.433,4,0.82
You Can Call Me Al,Paul Simon,The Essential Paul Simon,80s Smash Hits,1,69,276360,0.126,0.777,0.725,0.0108,5,0.0917,-9.012,1,0.047,128.349,4,0.851
You Can Call Me Al,Paul Simon,The Essential Paul Simon,All Out 80s,1,69,276360,0.126,0.777,0.725,0.0108,5,0.0917,-9.012,1,0.047,128.349,4,0.851
Company (feat. Molly Hammar),Paul Rey,Company (feat. Molly Hammar),Mellow Pop,0,50,193333,0.914,0.48,0.162,0,8,0.123,-10.238,1,0.0542,75.301,4,0.0949
Tear Me Down,Paul Rey,What Good Is Love (Acoustic),Autumn Leaves,0,29,177093,0.849,0.515,0.238,0,11,0.108,-10.506,1,0.0678,96.875,5,0.19
Ready Steady Go,Paul Oakenfold,Bunkka,Dance Classics,0,49,253933,0.00154,0.556,0.944,0.0295,1,0.209,-5.556,0,0.0296,128.012,4,0.341
Back In Brazil,Paul McCartney,Egypt Station,Retro Pop,1,68,200902,0.225,0.666,0.786,0.000218,10,0.0988,-8.573,1,0.0896,178.038,4,0.459
Back In Brazil,Paul McCartney,Egypt Station,Soft Pop Hits,1,68,200902,0.225,0.666,0.786,0.000218,10,0.0988,-8.573,1,0.0896,178.038,4,0.459
Band On The Run - Remastered 2010,Paul McCartney,Band On The Run (Standard),70s Rock Anthems,1,70,313026,0.0832,0.479,0.601,0.00142,7,0.11,-8.806,1,0.0318,124.966,4,0.669
Band On The Run - Remastered 2010,Paul McCartney,Band On The Run (Standard),All Out 70s,0,30,313026,0.0832,0.479,0.601,0.00142,7,0.11,-8.806,1,0.0318,124.966,4,0.669
Dominoes,Paul McCartney,Egypt Station,Retro Pop,0,59,302218,0.149,0.727,0.693,0.00191,0,0.156,-6.008,1,0.0241,100.978,4,0.671
Fuh You,Paul McCartney,Egypt Station,Soft Pop Hits,1,68,203719,0.0071,0.59,0.781,0,0,0.191,-5.42,1,0.0299,88.022,4,0.656
Let It Be,Paul McCartney,Back In The World,The Piano Lounge,0,17,237933,0.409,0.317,0.754,0,0,0.967,-3.7,1,0.0371,141.431,4,0.361
Maybe I’m Amazed - Remastered 2011,Paul McCartney,McCartney (Special Edition),70s & 80s Acoustic,1,65,229826,0.387,0.471,0.494,0.0944,7,0.617,-10.407,1,0.0312,79.255,4,0.373
Maybe I’m Amazed - Remastered 2011,Paul McCartney,McCartney (Special Edition),All Out 70s,0,22,229826,0.387,0.471,0.494,0.0944,7,0.617,-10.407,1,0.0312,79.255,4,0.373
Everybody Walkin' This Land,Paul Cauthen,Everybody Walkin' This Land,Swagger,0,12,186111,0.842,0.705,0.424,0.00501,7,0.204,-8.459,1,0.0412,96.056,4,0.357
Diana,Paul Anka,Pure... Rock 'n Roll,All Out 50s,0,52,136946,0.297,0.562,0.414,0,7,0.848,-9.984,1,0.0293,143.27,4,0.961
Heavenly Day,Patty Griffin,Children Running Through,Good Times_ Great Oldies,0,53,225400,0.798,0.3,0.364,6.35E-06,11,0.116,-7.385,1,0.032,184.241,3,0.391
"Mixed-Up, Shook-Up Girl",Patty & The Emblems,"Mixed-Up, Shook-Up Girl",Feelin' Good,0,53,126920,0.248,0.597,0.47,0,5,0.127,-10.207,1,0.033,128.8,4,0.615
Because the Night,Patti Smith,Outside Society,Early Alternative,0,59,202866,0.0557,0.442,0.793,0,11,0.0934,-5.378,0,0.0354,123.67,4,0.547
Free Money,Patti Smith,Horses (Legacy Edition),Alternative 70s,0,43,232040,0.0585,0.343,0.718,3.49E-05,9,0.157,-7.632,0,0.0918,77.772,4,0.452
Tennessee Waltz,Patti Page,Rockin' Gals Of The 1950's,All Out 50s,0,10,183573,0.957,0.468,0.171,3.74E-05,5,0.142,-10.905,1,0.0303,86.525,3,0.357
Lady Marmalade,Patti LaBelle,Best Of Patti Labelle,All Out 70s,0,60,235266,0.551,0.571,0.652,0,2,0.0598,-11.034,0,0.0499,117.956,4,0.947
I Fall To Pieces - Single Version,Patsy Cline,Sweet Dreams: Her Complete Decca Masters (1960-1963),Country's Greatest Hits_  The '60s,0,44,167693,0.884,0.555,0.218,7.36E-05,10,0.289,-11.793,1,0.0319,111.584,4,0.612
Leavin' On Your Mind - Single Version,Patsy Cline,Sweet Dreams: Her Complete Decca Masters (1960-1963),Country's Greatest Hits_  The '60s,0,38,144040,0.88,0.476,0.237,7.73E-06,7,0.485,-12.795,1,0.0292,104.614,3,0.4
Sweet Dreams (Of You) - Single Version,Patsy Cline,Sweet Dreams: Her Complete Decca Masters (1960-1963),Country's Greatest Hits_  The '60s,0,33,152733,0.95,0.342,0.135,0.000117,8,0.335,-13.416,1,0.0313,83,4,0.387
Walkin' After Midnight,Patsy Cline,The Very Best Of Patsy Cline,Country's Greatest Hits_  The '50s,0,55,154000,0.806,0.749,0.315,0,0,0.121,-9.159,1,0.0344,134.834,3,0.813
Lean on Me,Patrik Jean,L Is For,Love Ballads,0,57,157280,0.532,0.607,0.458,0,9,0.104,-7.56,1,0.0503,91.089,4,0.494
Escape (feat. Aubren Elaine),PatrickReza,Escape (feat. Aubren Elaine),Energetic Run 160-165 BPM,0,42,198000,0.0607,0.593,0.829,0.0319,7,0.0534,-5.066,1,0.0763,160.012,4,0.477
Voodoo,Patrick Paige II,Voodoo,Soul Coffee,0,53,222079,0.18,0.598,0.554,0.0343,1,0.188,-7.733,1,0.0496,78.016,4,0.682
Forget Me Nots,Patrice Rushen,Straight From The Heart,I Love My 80's Rollerdisco,0,17,275813,0.139,0.912,0.534,0.102,6,0.0387,-5.319,0,0.0366,114.681,4,0.963
Love You Die (feat. Diamond Platnumz),Patoranking,Love You Die (feat. Diamond Platnumz),Afropop.csv,0,52,195597,0.14,0.79,0.699,0,0,0.0945,-6.427,1,0.0376,105.04,4,0.771
"My Woman, My Everything (feat. Wandecoal)",Patoranking,"My Woman, My Everything (feat. Wandecoal) - Single",Afropop.csv,0,57,233717,0.0438,0.902,0.845,0,11,0.0867,-2.695,1,0.0644,112.005,4,0.625
Dance Till We Die (Bonus Track),Patent Pending,Second Family,Born To Run 150 BPM,0,34,179874,0.0194,0.563,0.844,0,10,0.319,-3.042,1,0.0329,150.017,4,0.85
show goes on,Patches,show goes on,Mellow Bars,0,45,180000,0.0681,0.534,0.653,0,1,0.139,-8.892,1,0.366,77.095,4,0.571
We Belong - Single Version,Pat Benatar,Deadpool 2 (Original Motion Picture Soundtrack),80s Smash Hits,0,12,222320,0.415,0.705,0.59,0,5,0.271,-5.201,1,0.0407,135.176,4,0.344
Lifted Up (1985),Passion Pit,Kindred,Epic Workout,0,51,263293,0.014,0.568,0.816,0.000231,0,0.155,-3.928,1,0.0281,125.033,5,0.31
Lifted Up (1985),Passion Pit,Lifted Up (1985),Indie Sunshine,0,46,263293,0.014,0.568,0.816,0.000231,0,0.155,-3.928,1,0.0281,125.033,5,0.31
Little Secrets,Passion Pit,Manners,It's ALT Good!,0,61,238973,0.00345,0.597,0.786,0,5,0.0909,-4.248,1,0.0419,99.888,4,0.666
Little Secrets,Passion Pit,Manners,Soak Up the Sun,0,61,238973,0.00345,0.597,0.786,0,5,0.0909,-4.248,1,0.0419,99.888,4,0.666
Sleepyhead,Passion Pit,Manners,Alternative 00s,1,67,174760,0.0892,0.568,0.719,1.84E-06,8,0.233,-5.406,1,0.0354,106.036,4,0.539
Sleepyhead,Passion Pit,Chunk of Change,Indie Workout,0,52,175080,0.425,0.575,0.971,3.40E-06,8,0.105,-3.261,1,0.11,106.052,4,0.764
Take a Walk,Passion Pit,Gossamer,Epic Workout,1,70,264493,0.0338,0.566,0.755,0,11,0.315,-5.526,1,0.0368,101.006,4,0.445
Heart to Love,Passenger,Heart to Love,A Perfect Day,0,59,197666,0.0423,0.518,0.73,0.000788,0,0.11,-6.232,0,0.041,98.966,4,0.591
Hell or High Water,Passenger,Hell or High Water,Mellow Pop,0,55,220468,0.00182,0.338,0.721,2.03E-05,4,0.349,-5.735,0,0.0587,80.774,4,0.381
Hell Or High Water,Passenger,Hell Or High Water,Acoustic Hits,0,49,220468,0.00182,0.338,0.721,2.03E-05,4,0.349,-5.735,0,0.0587,80.774,4,0.381
Let Her Go,Passenger,All The Little Lights,One-Hit Wonders,1,78,252866,0.385,0.509,0.538,0,7,0.104,-7.335,1,0.0572,75.089,4,0.244
Let Her Go,Passenger,All The Little Lights,Soft Pop Hits,1,78,252866,0.385,0.509,0.538,0,7,0.104,-7.335,1,0.0572,75.089,4,0.244
Let Her Go,Passenger,All the Little Lights,Acoustic Hits_ Oldies but Goodies,1,74,252733,0.365,0.479,0.545,0,7,0.0963,-7.346,1,0.0688,74.897,4,0.244
Let Her Go,Passenger,All the Little Lights,Songs to Sing in the Car,1,74,252733,0.365,0.479,0.545,0,7,0.0963,-7.346,1,0.0688,74.897,4,0.244
Shape of Love (feat. Boy & Bear),Passenger,Flight of the Crow,Happy Folk,0,60,188453,0.118,0.625,0.736,0,1,0.167,-8.658,0,0.0325,105.529,4,0.909
Simple Song,Passenger,Simple Song,Your Favorite Coffeehouse,1,65,228480,0.616,0.631,0.402,0.0114,5,0.0892,-11.125,1,0.0286,78,4,0.598
Come and See Me (feat. Drake),PARTYNEXTDOOR,Come and See Me (feat. Drake),All The Feels,0,46,235477,0.0538,0.807,0.346,2.55E-06,2,0.087,-10.275,1,0.0613,84.98,4,0.0608
Not Nice,PARTYNEXTDOOR,PARTYNEXTDOOR 3 (P3),HIIT-Hop,1,68,202661,0.0253,0.598,0.496,0.00132,0,0.12,-9.309,1,0.0804,128.06,4,0.725
Bap U,Party Favor,Bap U,Hype,0,64,153696,0.0251,0.674,0.943,0.000405,6,0.108,-3.343,1,0.038,100.001,4,0.398
Scrape (feat. Gucci Mane),Party Favor,Party & Destroy,Hype,0,57,255750,0.00635,0.63,0.902,0.0124,2,0.633,-3.205,1,0.0664,159.98,4,0.452
California Butterfly,Part Time Cooks,California Butterfly,K-Hip-Hop Beats,0,37,247500,0.214,0.909,0.604,0,10,0.0717,-5.653,0,0.424,119.982,4,0.756
Master Of My Craft,Parquet Courts,Light Up Gold +Tally All The Things That You Broke,Alternative 10s,0,33,190346,0.034,0.162,0.867,0.837,2,0.581,-6.778,1,0.069,187.607,4,0.572
Wide Awake,Parquet Courts,Wide Awake,Nike Running Tempo Mix,0,16,158906,0.113,0.85,0.94,0.435,8,0.0697,-3.428,1,0.036,122.047,4,0.897
Deliver Me,Parkway Drive,Deep Blue,Extreme Metal Workout,0,0,253839,7.77E-05,0.29,0.868,5.15E-06,1,0.408,-4.392,1,0.0773,90.889,4,0.193
Prey,Parkway Drive,Reverence,Adrenaline Workout,1,66,255230,3.28E-05,0.27,0.964,0.0247,6,0.525,-4.545,1,0.0866,99.731,3,0.325
The Void,Parkway Drive,The Void,Adrenaline Workout,0,13,233079,0.000432,0.571,0.954,0.0014,2,0.058,-3.399,0,0.0464,123.051,4,0.53
Vice Grip,Parkway Drive,Ire (Deluxe Edition),Adrenaline Workout,0,54,263586,3.17E-05,0.48,0.988,0.00432,11,0.389,-3.229,0,0.0838,124.041,4,0.252
Fine Line,Parker Millsap,Fine Line,Rockin' Vibes,0,37,159226,0.00807,0.6,0.866,0.000564,9,0.114,-4.816,1,0.168,87.444,4,0.761
Singing to Me,Parker Millsap,Other Arrangements,Country Coffeehouse,0,55,183413,0.807,0.473,0.318,0,2,0.11,-9.183,1,0.0455,83.587,4,0.165
Ballin,Parisalexa,Flexa,Mellow Bars,0,55,213000,0.163,0.705,0.371,1.12E-06,8,0.0718,-9.398,1,0.157,74.931,4,0.541
Fragments Café,Paris Atmosphere,Paris Atmosphere,Cool Down,0,55,234666,0.951,0.161,0.122,0.978,10,0.0916,-22.329,1,0.0367,86.119,4,0.0351
Paris Romance,Paris Atmosphere,Paris Atmosphere,Cool Down,0,55,235500,0.949,0.172,0.103,0.967,0,0.0868,-21.672,1,0.0408,115.834,5,0.0417
St Germain 54,Paris Atmosphere,Paris Atmosphere,Cool Down,0,58,174000,0.951,0.196,0.0443,0.915,2,0.134,-24.841,1,0.0415,89.772,4,0.0395
GONE (feat. Trippie Redd),Paris,ONE NIGHT IN PARIS,Tear Drop,1,70,190893,0.00107,0.712,0.731,0,9,0.219,-4.555,1,0.0335,118.016,4,0.876
Po'ed Up (feat. Gunna),Paris,Po'ed Up (feat. Gunna),Most Necessary,1,68,163906,0.0258,0.753,0.78,0,9,0.0694,-5.835,1,0.0826,163.962,4,0.534
Backin' It Up (feat. Cardi B),Pardison Fontaine,Backin' It Up (feat. Cardi B),A1 Hip-Hop,1,78,190466,0.0886,0.796,0.68,0,10,0.268,-4.853,0,0.353,164.932,4,0.565
Backin' It Up (feat. Cardi B),Pardison Fontaine,Backin' It Up (feat. Cardi B),Get Turnt,1,78,190466,0.0886,0.796,0.68,0,10,0.268,-4.853,0,0.353,164.932,4,0.565
Backin' It Up (feat. Cardi B),Pardison Fontaine,Backin' It Up (feat. Cardi B),Global Viral 50,1,78,190466,0.0886,0.796,0.68,0,10,0.268,-4.853,0,0.353,164.932,4,0.565
Backin' It Up (feat. Cardi B),Pardison Fontaine,Backin' It Up (feat. Cardi B),Hip-Hop R&B Nation,1,78,190466,0.0886,0.796,0.68,0,10,0.268,-4.853,0,0.353,164.932,4,0.565
Backin' It Up (feat. Cardi B),Pardison Fontaine,Backin' It Up (feat. Cardi B),Most Necessary,1,78,190466,0.0886,0.796,0.68,0,10,0.268,-4.853,0,0.353,164.932,4,0.565
Backin' It Up (feat. Cardi B),Pardison Fontaine,Backin' It Up (feat. Cardi B),Off the Strength,1,78,190466,0.0886,0.796,0.68,0,10,0.268,-4.853,0,0.353,164.932,4,0.565
Backin' It Up (feat. Cardi B),Pardison Fontaine,Backin' It Up (feat. Cardi B),State of Mind,1,78,190466,0.0886,0.796,0.68,0,10,0.268,-4.853,0,0.353,164.932,4,0.565
Backin' It Up (feat. Cardi B),Pardison Fontaine,Backin' It Up (feat. Cardi B),The Rhythm & Beats,1,78,190466,0.0886,0.796,0.68,0,10,0.268,-4.853,0,0.353,164.932,4,0.565
Backin' It Up (feat. Cardi B),Pardison Fontaine,Backin' It Up (feat. Cardi B),United States Viral 50,1,78,190466,0.0886,0.796,0.68,0,10,0.268,-4.853,0,0.353,164.932,4,0.565
Food Stamps,Pardison Fontaine,Food Stamps,Off the Strength,0,51,202396,0.056,0.82,0.525,0,1,0.207,-5.562,1,0.394,86.543,4,0.279
Older,Parcels,Older,Feel-Good Indie Rock,0,58,207192,0.366,0.746,0.765,0.00156,3,0.0799,-5.487,1,0.054,154.971,5,0.972
Daydreaming,Paramore,Paramore,Born To Run 150 BPM,0,55,271026,0.000542,0.495,0.909,0.000503,2,0.363,-5.575,1,0.0525,150.027,4,0.335
Fake Happy - Edit,Paramore,Fake Happy (Edit),It's ALT Good!,0,52,196662,0.113,0.741,0.829,0,7,0.0857,-2.417,1,0.0369,98.516,4,0.701
Ignorance,Paramore,brand new eyes,Rock Me UP!,1,68,218626,0.00109,0.522,0.964,0.000389,11,0.0387,-2.645,0,0.095,170.944,4,0.51
Misery Business,Paramore,RIOT!,Rock Me UP!,1,73,211520,0.00272,0.517,0.906,9.26E-06,1,0.113,-3.677,1,0.0735,172.977,4,0.731
The Only Exception,Paramore,brand new eyes,You & Me,1,72,267653,0.144,0.452,0.563,0,4,0.143,-6.607,1,0.0272,137.715,3,0.209
Bailando,Paradisio,Absolute Holiday,Fiesta 90era,0,10,226173,0.058,0.615,0.99,6.18E-05,8,0.129,-3.42,0,0.0686,132.829,4,0.793
Golden,Parade of Lights,Golden,It's ALT Good!,0,27,184466,0.000466,0.481,0.848,0,11,0.565,-4.953,0,0.143,100.016,4,0.639
Golden,Parade of Lights,Golden,Rock Me UP!,0,27,184466,0.000466,0.481,0.848,0,11,0.565,-4.953,0,0.143,100.016,4,0.639
Tidal Waves,Parade of Lights,Tidal Waves,It's ALT Good!,0,2,179050,1.11E-05,0.445,0.914,7.15E-05,0,0.278,-3.875,1,0.0504,149.917,4,0.424
Cinco Noches,Paquito Guzman,Serie Millennium 21: Paquito Guzman,Salsa Hits_ Los 90s,0,44,309253,0.415,0.648,0.718,0.000193,8,0.171,-6.086,0,0.0458,97.544,4,0.925
Cómo Fue,Paquito D'Rivera,The Best Of Paquito D'Rivera,Latin Jazz,0,39,291733,0.658,0.553,0.638,0.839,10,0.141,-8.383,1,0.031,96.092,4,0.443
Aquellos Ojos Verdes,Paquita La Del Barrio,45 Años Cantandole a los Inutiles,Boleros,0,45,186862,0.614,0.613,0.485,1.38E-05,4,0.184,-4.63,0,0.0243,99.419,4,0.463
Underrated,Papoose,Underrated,Power Workout,0,55,155494,0.179,0.653,0.805,0,6,0.244,-6.716,0,0.272,86.119,4,0.82
Galaxy,Paperwhite,Magic,Indie Sunshine,0,37,262702,0.00827,0.516,0.886,0.0119,0,0.264,-6.852,1,0.0286,147.96,4,0.748
Better Life,Paper Route,The Peace of Wild Things,You & Me,0,33,286693,0.291,0.548,0.838,2.70E-06,1,0.179,-4.981,1,0.0363,98.007,4,0.672
Wokman,Papanegro,SuperActivo,Made in Chile,0,0,189746,0.0855,0.763,0.735,0,1,0.0484,-6.609,1,0.196,112.404,4,0.934
Born For Greatness,Papa Roach,Crooked Teeth (Deluxe),Beast Mode,1,70,227847,0.0571,0.525,0.85,0,9,0.0555,-5.469,0,0.0678,134.115,4,0.275
Born For Greatness,Papa Roach,Crooked Teeth (Deluxe),Pumping Iron,1,70,227847,0.0571,0.525,0.85,0,9,0.0555,-5.469,0,0.0678,134.115,4,0.275
Born For Greatness,Papa Roach,Born For Greatness,One More Rep,0,57,227847,0.0561,0.518,0.849,0,9,0.0569,-5.472,0,0.0664,134.093,4,0.299
Born For Greatness,Papa Roach,Born For Greatness,Rock Me UP!,0,57,227847,0.0561,0.518,0.849,0,9,0.0569,-5.472,0,0.0664,134.093,4,0.299
Dead Cell,Papa Roach,Infest,Pumping Iron,0,52,186400,0.000169,0.523,0.972,0.0187,9,0.123,-4.451,1,0.119,102.64,4,0.501
Falling Apart,Papa Roach,F.E.A.R.,One More Rep,1,65,188919,8.26E-05,0.528,0.942,0,3,0.344,-2.825,0,0.0512,110.058,4,0.421
Help,Papa Roach,Crooked Teeth (Deluxe),Rock Your Body,0,63,214797,0.00085,0.383,0.9,1.94E-06,7,0.271,-5.42,1,0.134,183.96,4,0.286
Last Resort,Papa Roach,Infest,00s Rock Anthems,1,81,199893,0.000504,0.581,0.887,0.00111,4,0.268,-3.659,0,0.0624,90.578,4,0.724
Last Resort,Papa Roach,Infest,Hard Rock Workout,1,81,199893,0.000504,0.581,0.887,0.00111,4,0.268,-3.659,0,0.0624,90.578,4,0.724
Renegade Music,Papa Roach,Renegade Music,Beast Mode,0,58,209520,0.000307,0.368,0.869,0.000279,2,0.121,-5.534,1,0.0828,172.202,4,0.403
Renegade Music,Papa Roach,Renegade Music,Hard Rock Workout,0,58,209520,0.000307,0.368,0.869,0.000279,2,0.121,-5.534,1,0.0828,172.202,4,0.403
Ricochet,Papa Roach,Crooked Teeth (Deluxe),Pumping Iron,0,52,192004,0.000162,0.544,0.902,1.62E-06,4,0.0843,-5.041,0,0.0454,141.995,4,0.36
STILL SWINGIN,Papa Roach,STILL SWINGIN,Pumping Iron,0,1,196586,0.00773,0.46,0.981,0,1,0.276,-2.725,0,0.156,139.024,4,0.266
Where Did The Angels Go,Papa Roach,The Connection,Pumping Iron,0,1,190120,4.17E-05,0.512,0.924,0.000362,7,0.312,-5.654,1,0.0488,122.049,4,0.514
Who Do You Trust?,Papa Roach,Who Do You Trust?,Adrenaline Workout,1,68,196480,0.047,0.56,0.885,3.47E-06,2,0.361,-5.631,1,0.0363,102.003,4,0.312
Who Do You Trust?,Papa Roach,Who Do You Trust?,Hard Rock Workout,1,68,196480,0.047,0.56,0.885,3.47E-06,2,0.361,-5.631,1,0.0363,102.003,4,0.312
Who Do You Trust?,Papa Roach,Who Do You Trust?,One More Rep,1,68,196480,0.047,0.56,0.885,3.47E-06,2,0.361,-5.631,1,0.0363,102.003,4,0.312
Who Do You Trust?,Papa Roach,Who Do You Trust?,Rock This,1,68,196480,0.047,0.56,0.885,3.47E-06,2,0.361,-5.631,1,0.0363,102.003,4,0.312
I'm Broken,Pantera,Far Beyond Driven,Pumping Iron,0,64,264800,0.000594,0.419,0.878,0.559,7,0.139,-6.352,1,0.0553,147.385,4,0.666
Walk,Pantera,Vulgar Display Of Power,Adrenaline Workout,1,73,315120,0.000155,0.43,0.704,0.00221,1,0.0933,-8.008,0,0.0804,118.242,4,0.703
Walk,Pantera,Vulgar Display Of Power,One More Rep,1,73,315120,0.000155,0.43,0.704,0.00221,1,0.0933,-8.008,0,0.0804,118.242,4,0.703
Mundian to Bach Ke,Panjabi MC,The Album,One-Hit Wonders,0,47,245560,0.413,0.776,0.884,0.821,11,0.151,-5.062,1,0.0377,98.071,4,0.951
Dancing's Not A Crime,Panic! At The Disco,Pray For The Wicked,NTC_ Gym Strong,1,74,219466,0.0375,0.526,0.891,0,6,0.375,-1.549,1,0.0482,94.095,4,0.804
Hey Ya! - Recorded at Spotify Studios NYC,Panic! At The Disco,Spotify Singles,New Music Friday,0,54,184417,0.023,0.559,0.914,0,4,0.365,-6.869,0,0.0739,80.995,4,0.772
High Hopes,Panic! At The Disco,Pray For The Wicked,Global Top 50,1,92,190946,0.193,0.579,0.904,0,5,0.064,-2.729,1,0.0618,82.014,4,0.681
High Hopes,Panic! At The Disco,Pray For The Wicked,Mood Booster,1,92,190946,0.193,0.579,0.904,0,5,0.064,-2.729,1,0.0618,82.014,4,0.681
High Hopes,Panic! At The Disco,Pray For The Wicked,Rock This,1,92,190946,0.193,0.579,0.904,0,5,0.064,-2.729,1,0.0618,82.014,4,0.681
High Hopes,Panic! At The Disco,High Hopes On Saturday Night,Pop Royalty,1,73,190946,0.193,0.579,0.904,0,5,0.064,-2.729,1,0.0618,82.014,4,0.681
I Write Sins Not Tragedies,Panic! At The Disco,A Fever You Can't Sweat Out,00s Rock Anthems,1,77,187613,0.0938,0.567,0.795,0,9,0.114,-4.985,0,0.134,170.06,4,0.635
I Write Sins Not Tragedies,Panic! At The Disco,A Fever You Can't Sweat Out,All Out 00s,1,77,187613,0.0938,0.567,0.795,0,9,0.114,-4.985,0,0.134,170.06,4,0.635
This Is Gospel,Panic! At The Disco,"Too Weird To Live, Too Rare To Die!",Just Get Going! 155 BPM,1,77,187186,0.00155,0.572,0.912,1.20E-06,7,0.102,-4.875,1,0.0707,156.073,4,0.606
Uma,Panama Wedding,Parallel Play,Indie Workout,0,44,216360,0.145,0.767,0.575,0.000905,1,0.115,-7.488,1,0.0325,130.021,4,0.796
Uma,Panama Wedding,Parallel Play EP,Indie Sunshine,0,35,216360,0.137,0.766,0.576,0.000879,1,0.113,-7.474,1,0.0322,129.998,4,0.812
Always,Panama,Always EP (Deluxe Edition),Indie Workout,0,49,219051,0.000289,0.606,0.758,0.11,5,0.143,-5.721,0,0.027,116.043,4,0.435
The Lotion Song,Pan Amsterdam,The Lotion Song,Alternative Hip Hop,0,24,152461,0.55,0.441,0.83,1.93E-05,10,0.247,-6.299,1,0.343,206.883,4,0.833
Beso A Beso... Dulcemente,Paloma San Basilio,Diva,Canciones del Recuerdo,0,47,252213,0.578,0.416,0.499,0,1,0.163,-6.736,1,0.03,126.918,4,0.439
Beso A Beso... Dulcemente,Paloma San Basilio,Viva La Diva,Abuela's Mix,0,22,252213,0.578,0.416,0.499,0,1,0.163,-6.736,1,0.03,126.918,4,0.439
Not Steady,Paloma Mami,Not Steady,Vibras,1,68,190784,0.208,0.877,0.443,0.000765,8,0.106,-10.906,0,0.298,92.006,4,0.34
Loyal,Paloma Faith,Loyal,A Perfect Day,0,60,220080,0.224,0.649,0.576,0,1,0.445,-5.936,0,0.0449,107.989,4,0.311
Loyal,Paloma Faith,Loyal,Contemporary Blend,0,60,220080,0.224,0.649,0.576,0,1,0.445,-5.936,0,0.0449,107.989,4,0.311
Loyal,Paloma Faith,Loyal,Soft Pop Hits,0,60,220080,0.224,0.649,0.576,0,1,0.445,-5.936,0,0.0449,107.989,4,0.311
Only Love Can Hurt Like This,Paloma Faith,A Perfect Contradiction (Deluxe),Life Sucks,0,8,232893,0.0865,0.568,0.883,0.000115,8,0.276,-4.512,1,0.0802,91.026,4,0.299
Stone Cold Sober,Paloma Faith,Do You Want The Truth Or Something Beautiful?,Retro Pop,0,46,174333,0.259,0.566,0.927,0,4,0.385,-1.887,0,0.0693,105.161,4,0.836
Pina Colada,Paloalto,Summer Grooves,K-Hip-Hop Beats,0,37,200674,0.511,0.813,0.775,0,1,0.279,-6.083,1,0.137,108.985,4,0.842
Best of Friends,Palma Violets,180,Alternative 10s,0,43,210067,8.55E-06,0.237,0.88,0.84,0,0.085,-3.945,1,0.0505,130.144,4,0.309
prometimos no llorar,Palito Ortega,Colecccion de Oro,Canciones del Recuerdo,0,55,203133,0.763,0.452,0.542,3.74E-06,9,0.0874,-13.393,0,0.0546,166.962,4,0.592
Fall,Palisades,Fall,Rock Me UP!,0,59,218855,0.00216,0.516,0.941,0,6,0.407,-4.371,0,0.0529,145.048,4,0.549
War,Palisades,War,One More Rep,0,59,178244,4.32E-06,0.439,0.958,2.41E-06,9,0.0641,-4.236,0,0.0953,90.036,4,0.254
Noises,Pale Waves,Noises,Wake Up Happy,0,43,247328,0.000158,0.52,0.681,0.000363,0,0.179,-4.647,1,0.0258,100.971,4,0.173
You'll Be Fine,Palaye Royale,You'll Be Fine,Rock This,0,63,213394,0.0139,0.27,0.931,0,1,0.218,-5.016,1,0.232,124.608,4,0.446
Sail On,Paden,Sail On,Contemporary Blend,0,0,279671,0.333,0.323,0.59,0,2,0.103,-6.372,1,0.0328,155.659,4,0.283
Luke's Tree,Paddy Mulcahy,The Words She Said,Dreamy Vibes,0,49,318000,0.919,0.179,0.119,0.859,8,0.0868,-23.723,1,0.0504,74.947,4,0.0714
Float,Pacific Air,Float,You & Me,0,6,199400,0.0704,0.721,0.64,1.62E-05,9,0.21,-7.489,0,0.0336,120.034,4,0.553
Como Soy,Pacho El Antifeka,Como Soy,El Bloque,1,68,312232,0.0732,0.825,0.752,0,9,0.106,-6.826,0,0.0537,113.95,4,0.391
Posted,Pac Div,The Div,Clinically Cold,0,40,188689,0.0229,0.656,0.729,0,5,0.12,-4.342,1,0.205,72.418,4,0.0855
