Brand,Year,Fuel,Transmission,Engine,Max_Power,Torque,Seats,Mileage,KM_Driven,Owner,Seller_Type,Selling_Price
Renault KWID RXT,2017,Petrol,Manual,799 CC,53.3 bhp,72Nm@ 4386rpm,5,25.17 kmpl,34000,First Owner,Individual,350000
Mahindra Xylo D2,2011,Diesel,Manual,2489 CC,95 bhp,220Nm at 1400-2600 rpm,8,13.0 kmpl,56000,First Owner,Individual,450000
Hyundai i10 Era,2008,Petrol,Manual,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5,19.81 kmpl,90000,First Owner,Individual,165000
Hyundai Santro Xing GLS,2010,Petrol,Manual,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5,17.92 kmpl,65000,Second Owner,Individual,160000
Tata New Safari DICOR 2.2 EX 4x4,2011,Diesel,Manual,2179 CC,138 bhp,320Nm@ 1700-2700rpm,7,13.93 kmpl,80000,First Owner,Individual,300000
Mahindra Scorpio VLX 2WD BSIV,2012,Diesel,Manual,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8,12.05 kmpl,90000,Third Owner,Individual,550000
Maruti Alto K10 VXI,2015,Petrol,Manual,998 CC,67.05 bhp,90Nm@ 3500rpm,5,23.95 kmpl,40000,First Owner,Individual,285000
Hyundai Creta 1.6 CRDi SX,2016,Diesel,Manual,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5,19.67 kmpl,58000,First Owner,Individual,850000
Ford Freestyle Titanium Petrol BSIV,2018,Petrol,Manual,1194 CC,94.68 bhp,120Nm@ 4250rpm,5,19.0 kmpl,19100,First Owner,Individual,700000
Maruti Ertiga ZXI Plus Petrol,2018,Petrol,Manual,1462 CC,103 bhp,138Nm@ 4400rpm,7,19.34 kmpl,25000,First Owner,Individual,900000
Maruti Alto LXi BSIII,2005,Petrol,Manual,796 CC,46.3 bhp,62Nm@ 3000rpm,5,19.7 kmpl,49455,First Owner,Individual,180000
Hyundai EON D Lite Plus Option,2016,Petrol,Manual,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5,21.1 kmpl,100000,First Owner,Individual,220000
Tata Indica Vista Quadrajet LS,2013,Diesel,Manual,1248 CC,74 bhp,190Nm@ 1750-3000rpm,5,22.3 kmpl,120000,First Owner,Individual,120000
Hyundai i20 Asta Optional With Sunroof 1.2,2010,Petrol,Manual,1197 CC,80 bhp,"11.4 kgm at 4,000 rpm",5,17.0 kmpl,90000,Fourth & Above Owner,Individual,220000
Chevrolet Sail Hatchback LS ABS,2013,Diesel,Manual,1248 CC,76.9 bhp,205Nm@ 1750rpm,5,22.1 kmpl,46815,Second Owner,Individual,420000
Tata Indica Vista TDI LS,2013,Diesel,Manual,1405 CC,70 bhp,135.4Nm@ 2500rpm,5,19.4 kmpl,110000,First Owner,Individual,160000
Hyundai EON Era Plus,2015,Petrol,Manual,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5,21.1 kmpl,80000,First Owner,Individual,250000
Maruti Ertiga ZDI,2013,Diesel,Manual,1248 CC,88.8 bhp,200Nm@ 1750rpm,7,20.77 kmpl,100000,Third Owner,Individual,385000
Maruti Wagon R VXI BS IV with ABS,2014,Petrol,Manual,998 CC,67.06 bhp,90Nm@ 3500rpm,5,20.51 kmpl,80000,First Owner,Individual,318000
Hyundai Xcent 1.2 VTVT S,2018,Petrol,Manual,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5,20.14 kmpl,40000,First Owner,Individual,480000
Maruti Celerio VXI,2015,Petrol,Manual,998 CC,67.04 bhp,90Nm@ 3500rpm,5,23.1 kmpl,70000,Third Owner,Individual,330000
Tata Indica Vista Aqua 1.4 TDI,2011,Diesel,Manual,1405 CC,71 bhp,135 Nm at 2500  rpm ,5,17.0 kmpl,80000,First Owner,Individual,152000
Maruti Alto 800 LXI,2014,Petrol,Manual,796 CC,47.3 bhp,69Nm@ 3500rpm,5,22.74 kmpl,40000,First Owner,Individual,250000
Tata Indica Vista Aqua 1.4 TDI,2011,Diesel,Manual,1405 CC,71 bhp,135 Nm at 2500  rpm ,5,17.0 kmpl,80000,First Owner,Individual,248000
Nissan Micra XV,2011,Petrol,Manual,1198 CC,75 bhp,104Nm@ 4000rpm,5,18.06 kmpl,60000,Second Owner,Individual,300000
Hyundai i20 1.2 Spotz,2017,Petrol,Manual,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5,18.6 kmpl,50000,First Owner,Individual,550000
Hyundai i20 Sportz 1.4 CRDi,2016,Diesel,Manual,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5,22.54 kmpl,30000,First Owner,Individual,650000
Hyundai Grand i10 Magna,2017,Petrol,Manual,1197 CC,82 bhp,114Nm@ 4000rpm,5,18.9 kmpl,25000,First Owner,Individual,445000
Toyota Innova 2.5 V Diesel 7-seater,2010,Diesel,Manual,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),7,12.8 kmpl,334000,First Owner,Individual,450000
Mahindra NuvoSport N8,2016,Diesel,Manual,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7,17.45 kmpl,100000,First Owner,Individual,600000
Renault Duster Adventure Edition,2014,Diesel,Manual,1461 CC,108.45 bhp,248Nm@ 2250rpm,5,19.01 kmpl,175000,First Owner,Individual,495000
Maruti SX4 ZXI AT,2011,Petrol,Automatic,1586 CC,103.3 bhp,145Nm@ 4100rpm,5,12.6 kmpl,65000,Third Owner,Individual,220000
Maruti SX4 ZXI AT,2011,Petrol,Automatic,1586 CC,103.3 bhp,145Nm@ 4100rpm,5,12.6 kmpl,65000,Third Owner,Individual,260000
Hyundai Santro Xing GLS,2009,Petrol,Manual,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5,17.92 kmpl,90000,First Owner,Individual,150000
Ford Figo Diesel Titanium,2011,Diesel,Manual,1399 CC,68 bhp,160Nm@ 2000rpm,5,20.0 kmpl,80000,Second Owner,Individual,200000
Mahindra Scorpio S11 BSIV,2018,Diesel,Manual,2179 CC,140 bhp,320Nm@ 1500-2800rpm,7,16.36 kmpl,110000,First Owner,Individual,1465000
Toyota Etios Liva GD,2012,Diesel,Manual,,,,,,80000,Second Owner,Individual,285000
Honda Civic Hybrid,2008,Petrol,Automatic,1339 CC,108.5 bhp,123Nm@ 1000-2500rpm,5,20.0 kmpl,60000,Third Owner,Individual,250000
Mahindra Xylo D4,2014,Diesel,Manual,2489 CC,93.7 bhp,218Nm@ 1400-2600rpm,7,14.95 kmpl,160000,First Owner,Individual,310000
Mahindra Scorpio VLX 4WD AIRBAG AT BSIV,2010,Diesel,Automatic,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8,11.79 kmpl,100875,First Owner,Individual,600000
Maruti Baleno Delta 1.2,2018,Petrol,Manual,1197 CC,83.1 bhp,115Nm@ 4000rpm,5,21.4 kmpl,20000,First Owner,Individual,560000
Maruti Swift Dzire VXI,2016,Petrol,Manual,1197 CC,83.14 bhp,115Nm@ 4000rpm,5,20.85 kmpl,30000,First Owner,Individual,500000
Hyundai Grand i10 CRDi Asta Option,2013,Diesel,Manual,1120 CC,70 bhp,160Nm@ 1500-2750rpm,5,24.0 kmpl,118000,First Owner,Individual,270000
Hyundai Verna 1.6 SX,2013,Diesel,Manual,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5,22.32 kmpl,69000,Third Owner,Individual,420000
Maruti Swift Dzire LXI,2015,Petrol,Manual,1197 CC,83.14 bhp,115Nm@ 4000rpm,5,20.85 kmpl,25000,Second Owner,Individual,434999
Hyundai Xcent 1.2 Kappa AT S Option,2015,Petrol,Automatic,1197 CC,81.86 bhp,113.75Nm@ 4000rpm,5,16.9 kmpl,100000,First Owner,Individual,400000
Maruti Swift Dzire VDI,2015,Diesel,Manual,1248 CC,74 bhp,190Nm@ 2000rpm,5,26.59 kmpl,110000,First Owner,Individual,470000
Nissan Terrano XL 85 PS,2015,Diesel,Manual,1461 CC,83.8 bhp,200Nm@ 1900rpm,5,20.45 kmpl,60000,Third Owner,Individual,480000
Hyundai Santro Xing GL,2008,Petrol,Manual,1086 CC,62 bhp,96.1Nm@ 3000rpm,5,0.0 kmpl,128000,First Owner,Individual,105000
Tata Tiago 1.05 Revotorq XE,2017,Diesel,Manual,1047 CC,69 bhp,140Nm@ 1800-3000rpm,5,27.28 kmpl,120000,First Owner,Individual,325000
Toyota Etios Liva GD,2012,Diesel,Manual,,,,,,80000,Second Owner,Individual,280000
Hyundai Grand i10 Nios AMT Sportz,2020,Petrol,Automatic,1197 CC,81.86 bhp,113.75Nm@ 4000rpm,5,20.7 kmpl,5000,First Owner,Individual,675000
Hyundai i10 Sportz Option,2009,Petrol,Manual,1197 CC,78.9 bhp,111.8Nm@ 4000rpm,5,20.36 kmpl,90000,Second Owner,Individual,170000
Hyundai Creta 1.6 CRDi SX Option,2017,Diesel,Manual,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5,19.67 kmpl,90000,First Owner,Individual,1250000
Honda Accord 2.4 M/T,2012,Petrol,Manual,2354 CC,177.6 bhp,222Nm@ 4300rpm,5,12.8 kmpl,144030,First Owner,Individual,600000
Honda City i DTEC VX,2014,Diesel,Manual,1498 CC,98.6 bhp,200Nm@ 1750rpm,5,25.1 kmpl,200000,First Owner,Individual,819999
Hyundai i20 2015-2017 Asta Option 1.2,2016,Petrol,Manual,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5,18.6 kmpl,29000,First Owner,Individual,650000
Maruti Wagon R LXI DUO BSIII,2007,LPG,Manual,1061 CC,57.5 bhp,"7.8@ 4,500(kgm@ rpm)",5,17.3 km/kg,90000,Second Owner,Individual,105000
Mahindra Renault Logan 1.5 Diesel DLSX,2009,Diesel,Manual,1461 CC,66 bhp,"16@ 2,000(kgm@ rpm)",5,17.0 kmpl,176000,Second Owner,Individual,200000
Tata Indigo CS LX (TDI) BS III,2013,Diesel,Manual,1396 CC,69 bhp,135Nm@ 2500rpm,5,19.09 kmpl,150000,First Owner,Individual,200000
Maruti Omni E MPI STD BS IV,2016,Petrol,Manual,796 CC,34.2 bhp,59Nm@ 2500rpm,8,16.8 kmpl,90000,First Owner,Individual,220000
Volkswagen Vento 1.6 Highline,2014,Petrol,Manual,1598 CC,103.2 bhp,153Nm@ 3800rpm,5,15.04 kmpl,70000,Second Owner,Individual,500000
Mahindra Renault Logan 1.5 DLX Diesel,2007,Diesel,Manual,1461 CC,65 bhp,"16@ 2,000(kgm@ rpm)",5,19.2 kmpl,99000,Second Owner,Individual,175000
Tata Tiago 1.2 Revotron XZ,2018,Petrol,Manual,1199 CC,84 bhp,114Nm@ 3500rpm,5,23.84 kmpl,5000,First Owner,Individual,450000
Chevrolet Optra Magnum 2.0 LT,2008,Diesel,Manual,1991 CC,123.7 bhp,305Nm@ 2000rpm,5,16.52 kmpl,90000,Fourth & Above Owner,Individual,210000
Maruti Ritz VDi,2011,Diesel,Manual,1248 CC,73.9 bhp,113Nm@ 4500rpm,5,21.1 kmpl,89000,Second Owner,Individual,270000
Tata Indica V2 DLS TC,2006,Diesel,Manual,1405 CC,62 bhp,"12.5@ 2,500(kgm@ rpm)",5,16.8 kmpl,88000,Second Owner,Individual,110000
Maruti Swift Dzire VDI,2015,Diesel,Manual,1248 CC,74 bhp,190Nm@ 2000rpm,5,26.59 kmpl,30000,First Owner,Individual,480000
Maruti Swift Dzire AMT ZDI,2016,Diesel,Automatic,1248 CC,74 bhp,190Nm@ 2000rpm,5,26.59 kmpl,50000,Second Owner,Individual,650000
Maruti Swift Dzire VDI,2013,Diesel,Manual,1248 CC,74 bhp,190Nm@ 2000rpm,5,23.4 kmpl,80000,First Owner,Individual,480000
Hyundai i20 Asta Option 1.4 CRDi,2016,Diesel,Manual,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5,22.54 kmpl,40000,First Owner,Individual,700000
Maruti Ertiga VDI,2015,Diesel,Manual,1248 CC,88.76 bhp,200Nm@ 1750rpm,7,20.77 kmpl,110000,Third Owner,Individual,650000
Hyundai Creta 1.6 CRDi SX Plus Dual Tone,2015,Diesel,Manual,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5,19.67 kmpl,48000,Second Owner,Individual,1300000
Volkswagen Jetta 2.0L TDI Highline AT,2016,Diesel,Automatic,1968 CC,138.03 bhp,320Nm@ 1750-2500rpm,5,16.96 kmpl,97000,First Owner,Individual,1350000
Volkswagen Vento 1.5 TDI Highline AT,2016,Diesel,Automatic,1498 CC,108.6 bhp,250Nm@ 1500-3000rpm,5,22.15 kmpl,60000,First Owner,Individual,1000000
Mercedes-Benz M-Class ML 350 4Matic,2011,Diesel,Automatic,2987 CC,165 bhp,510@ 1600-2400,5,0.0 kmpl,110000,Third Owner,Individual,1700000
Toyota Yaris V CVT BSIV,2018,Petrol,Automatic,1496 CC,105.5 bhp,140Nm@ 4200rpm,5,17.8 kmpl,12800,First Owner,Individual,1080000
Hyundai EON D Lite,2012,Petrol,Manual,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5,21.1 kmpl,40000,First Owner,Individual,170000
Maruti Swift DDiS VDI,2017,Diesel,Manual,1248 CC,74 bhp,190Nm@ 2000rpm,5,28.4 kmpl,49000,First Owner,Individual,610000
Maruti Ritz VXi,2014,Petrol,Manual,1197 CC,85.80 bhp,114Nm@ 4000rpm,5,18.5 kmpl,25000,First Owner,Individual,350000
Maruti Alto 800 LXI,2016,Petrol,Manual,796 CC,47.3 bhp,69Nm@ 3500rpm,5,22.74 kmpl,65000,Second Owner,Individual,260000
Fiat Linea 1.3 Multijet Emotion,2015,Diesel,Manual,1248 CC,91.7 bhp,209Nm@ 2000rpm,5,20.4 kmpl,20000,First Owner,Individual,700000
Volkswagen Polo 2015-2019 1.0 MPI Highline Plus,2018,Petrol,Manual,999 CC,75 bhp,95Nm@ 3000-4300rpm,5,18.78 kmpl,17000,First Owner,Individual,678000
Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,2015,Diesel,Manual,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,23.65 kmpl,15000,First Owner,Individual,800000
Toyota Etios GD,2014,Diesel,Manual,1364 CC,67.04 bhp,170Nm@ 1800-2400rpm,5,23.59 kmpl,120000,Second Owner,Individual,400000
Hyundai i20 Magna,2010,Petrol,Manual,1197 CC,80 bhp,"11.4 kgm at 4,000 rpm",5,18.5 kmpl,49000,First Owner,Individual,300000
Hyundai i20 2015-2017 Magna 1.2,2016,Petrol,Manual,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5,18.6 kmpl,29000,First Owner,Individual,520000
Nissan Terrano XV D Premium AMT,2017,Diesel,Automatic,1461 CC,108.5 bhp,248Nm@ 2250rpm,5,19.61 kmpl,55000,First Owner,Individual,850000
Mahindra Marazzo M8,2019,Diesel,Manual,1497 CC,121 bhp,300Nm@ 1750-2500rpm,7,17.3 kmpl,5000,First Owner,Individual,1460000
Tata Nexon 1.5 Revotorq XZ Plus,2017,Diesel,Manual,1497 CC,108.5 bhp,260Nm@ 1500-2750rpm,5,21.5 kmpl,35000,First Owner,Individual,830000
Datsun GO T Option BSIV,2018,Petrol,Manual,1198 CC,67 bhp,104Nm@ 4000rpm,5,20.63 kmpl,5000,Second Owner,Individual,430000
Ford EcoSport 1.5 TDCi Platinum Edition BSIV,2017,Diesel,Manual,1498 CC,98.59 bhp,205Nm@ 1750-3250rpm,5,22.77 kmpl,60000,First Owner,Individual,850000
Maruti Swift Dzire ZXI,2017,Petrol,Manual,1197 CC,83.14 bhp,115Nm@ 4000rpm,5,20.85 kmpl,70000,First Owner,Individual,650000
Hyundai Verna CRDi,2008,Diesel,Manual,1493 CC,110 bhp,"24@ 1,900-2,750(kgm@ rpm)",5,16.8 kmpl,120000,Second Owner,Individual,120000
Mahindra TUV 300 T8,2016,Diesel,Manual,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7,18.49 kmpl,65100,Second Owner,Individual,730000
Maruti Ignis 1.2 AMT Delta BSIV,2019,Petrol,Automatic,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,20.89 kmpl,20000,First Owner,Individual,525000
Hyundai i20 Active 1.4 SX,2015,Diesel,Manual,1396 CC,88.73 bhp,220Nm@ 1500-2750rpm,5,21.19 kmpl,108000,First Owner,Individual,600000
Maruti Swift LXI,2019,Petrol,Manual,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,21.21 kmpl,15000,First Owner,Individual,500000
Hyundai Santro Xing GLS,2009,Petrol,Manual,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5,17.92 kmpl,77000,First Owner,Individual,150000
Maruti Wagon R VXI BS IV,2015,Petrol,Manual,998 CC,67.04 bhp,90Nm@ 3500rpm,5,20.51 kmpl,18500,First Owner,Individual,409999
Mahindra TUV 300 T8,2016,Diesel,Manual,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7,18.49 kmpl,120000,First Owner,Individual,625000
Renault KWID RXT,2015,Petrol,Manual,799 CC,53.3 bhp,72Nm@ 4386rpm,5,25.17 kmpl,15200,First Owner,Individual,290000
Honda Mobilio V i VTEC,2015,Petrol,Manual,1497 CC,117.3 bhp,145Nm@ 4600rpm,7,17.3 kmpl,35000,First Owner,Individual,500000
Hyundai Verna 1.6 SX,2011,Diesel,Manual,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5,22.32 kmpl,80000,First Owner,Individual,475000
Hyundai EON Era Plus,2013,Petrol,Manual,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5,21.1 kmpl,70000,First Owner,Individual,190000
Mahindra XUV500 W6 2WD,2014,Diesel,Manual,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7,15.1 kmpl,80000,Second Owner,Individual,750000
Nissan Terrano XV 110 PS,2014,Diesel,Manual,1461 CC,108.5 bhp,248Nm@ 2250rpm,5,19.01 kmpl,120000,Second Owner,Individual,525000
Chevrolet Cruze LTZ,2012,Diesel,Manual,1998 CC,163.7 bhp,380Nm@ 2000rpm,5,17.3 kmpl,82000,Third Owner,Individual,495000
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,Diesel,Automatic,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5,13.6 kmpl,9000,First Owner,Dealer,2625000
Lexus ES 300h,2019,Petrol,Automatic,2487 CC,214.56 bhp,202Nm@ 3600-5200rpm,5,22.37 kmpl,20000,First Owner,Dealer,5150000
Jaguar XF 2.0 Diesel Portfolio,2017,Diesel,Automatic,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5,19.33 kmpl,45000,First Owner,Dealer,3200000
Tata Safari Storme EX,2015,Diesel,Manual,2179 CC,147.94 bhp,320Nm@ 1500-3000rpm,7,14.1 kmpl,110000,First Owner,Individual,503000
Volvo XC40 D4 Inscription BSIV,2019,Diesel,Automatic,1969 CC,190 bhp,400Nm,5,18.0 kmpl,20000,First Owner,Individual,3800000
Toyota Camry 2.5 Hybrid,2016,Petrol,Automatic,2494 CC,157.7 bhp,213Nm@ 4500rpm,5,19.16 kmpl,68089,First Owner,Trustmark Dealer,2000000
Maruti Wagon R LXI,2013,Petrol,Manual,998 CC,67.05 bhp,90Nm@ 3500rpm,5,21.79 kmpl,58343,First Owner,Trustmark Dealer,225000
Maruti Baleno Alpha 1.3,2018,Diesel,Manual,1248 CC,74 bhp,190Nm@ 2000rpm,5,27.39 kmpl,38817,First Owner,Dealer,740000
Honda Jazz VX,2016,Petrol,Manual,1199 CC,88.7 bhp,110Nm@ 4800rpm,5,18.2 kmpl,56494,First Owner,Trustmark Dealer,550000
Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,Diesel,Manual,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,7,12.99 kmpl,79328,Second Owner,Trustmark Dealer,750000
Maruti Swift AMT VVT VXI,2019,Petrol,Automatic,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,22.0 kmpl,5621,First Owner,Trustmark Dealer,650000
Toyota Etios VX,2017,Petrol,Manual,1496 CC,88.73 bhp,132Nm@ 3000rpm,5,16.78 kmpl,25538,First Owner,Trustmark Dealer,625000
Maruti Swift AMT ZXI,2018,Petrol,Automatic,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,22.0 kmpl,69779,First Owner,Dealer,600000
Hyundai Grand i10 1.2 CRDi Sportz,2017,Diesel,Manual,1186 CC,73.97 bhp,190.24nm@ 1750-2250rpm,5,24.0 kmpl,56290,First Owner,Dealer,450000
BMW X4 M Sport X xDrive20d,2019,Diesel,Automatic,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5,16.78 kmpl,7500,First Owner,Dealer,5400000
BMW X4 M Sport X xDrive20d,2019,Diesel,Automatic,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5,16.78 kmpl,8500,First Owner,Dealer,5500000
Honda Amaze V CVT Petrol BSIV,2019,Petrol,Automatic,1199 CC,88.76 bhp,110Nm@ 4800rpm,5,19.0 kmpl,7032,First Owner,Trustmark Dealer,779000
Skoda Rapid 1.6 MPI AT Elegance,2016,Petrol,Automatic,1598 CC,103.5 bhp,153Nm@ 3800rpm,5,14.3 kmpl,11000,First Owner,Dealer,645000
Volvo V40 D3 R-Design,2018,Diesel,Automatic,1984 CC,150 bhp,350Nm@ 1500-2750rpm,5,16.8 kmpl,2000,First Owner,Dealer,2475000
Honda City 1.5 V AT,2010,Petrol,Automatic,1497 CC,118 bhp,146Nm at 4800 rpm,5,16.8 kmpl,60000,Second Owner,Individual,321000
Toyota Etios Liva 1.2 V Dual Tone,2017,Petrol,Manual,1197 CC,78.9 bhp,104Nm@ 3100rpm,5,17.71 kmpl,50000,First Owner,Individual,585000
Ford Figo Diesel EXI,2011,Diesel,Manual,1399 CC,68 bhp,160Nm@ 2000rpm,5,20.0 kmpl,70000,First Owner,Individual,225000
Honda Amaze E i-DTEC,2017,Diesel,Manual,1498 CC,98.6 bhp,200Nm@ 1750rpm,5,25.8 kmpl,70000,First Owner,Individual,500000
Hyundai i20 1.4 CRDi Asta,2011,Diesel,Manual,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5,23.0 kmpl,90000,Third Owner,Individual,350000
Maruti Ertiga SHVS LDI Option,2016,Diesel,Manual,1248 CC,88.5 bhp,200Nm@ 1750rpm,7,24.52 kmpl,70000,Second Owner,Individual,756000
Maruti Alto 800 VXI,2014,Petrol,Manual,796 CC,47.3 bhp,69Nm@ 3500rpm,5,22.74 kmpl,50000,First Owner,Individual,240000
Maruti Omni 8 Seater BSII,2012,Petrol,Manual,796 CC,35 bhp,6.1kgm@ 3000rpm,8,19.7 kmpl,120000,Second Owner,Individual,80000
Hyundai i20 Active S Petrol,2019,Petrol,Manual,1197 CC,81.86 bhp,114.73Nm@ 4000rpm,5,17.19 kmpl,5000,First Owner,Individual,800000
Tata Hexa XE,2018,Diesel,Manual,2179 CC,147.94 bhp,320Nm@ 1500-3000rpm,7,17.6 kmpl,25000,First Owner,Individual,1250000
Mahindra Scorpio VLS 2.2 mHawk,2009,Diesel,Manual,2179 CC,120 bhp,290Nm@ 1800-2800rpm,7,12.05 kmpl,80000,Third Owner,Individual,320000
Hyundai Grand i10 Sportz,2017,Petrol,Manual,1197 CC,82 bhp,114Nm@ 4000rpm,5,18.9 kmpl,25000,First Owner,Individual,509999
Tata Zest Quadrajet 1.3 75PS XE,2019,Diesel,Manual,1248 CC,74 bhp,190Nm@ 1750-3000rpm,5,22.95 kmpl,15000,First Owner,Individual,650000
Maruti Alto K10 2010-2014 VXI,2011,Petrol,Manual,998 CC,67.1 bhp,90Nm@ 3500rpm,5,20.92 kmpl,35000,Second Owner,Individual,210000
Maruti Alto LXi,2008,Petrol,Manual,796 CC,46.3 bhp,62Nm@ 3000rpm,5,19.7 kmpl,80000,Second Owner,Individual,110000
Tata Nexon 1.5 Revotorq XE,2017,Diesel,Manual,1497 CC,108.5 bhp,260Nm@ 1500-2750rpm,5,21.5 kmpl,25000,First Owner,Individual,665000
Volkswagen Ameo 1.5 TDI Comfortline,2017,Diesel,Manual,1498 CC,108.62 bhp,250Nm@ 1500-3000rpm,5,21.66 kmpl,52000,First Owner,Individual,555000
Volkswagen Ameo 1.5 TDI Comfortline,2017,Diesel,Manual,1498 CC,108.62 bhp,250Nm@ 1500-3000rpm,5,21.66 kmpl,52000,First Owner,Individual,560000
Mahindra KUV 100 mFALCON D75 K6 Plus,2016,Diesel,Manual,1198 CC,77 bhp,190Nm@ 1750-2250rpm,6,25.32 kmpl,80000,First Owner,Individual,375000
Maruti Swift VDI BSIV W ABS,2011,Diesel,Manual,,,,,,77000,Second Owner,Individual,290000
Toyota Fortuner 2.8 4WD AT BSIV,2017,Diesel,Automatic,2755 CC,174.5 bhp,450Nm@ 1600-2400rpm,7,15.04 kmpl,50000,First Owner,Individual,2950000
Maruti Swift Dzire VDI,2017,Diesel,Manual,1248 CC,74.02 bhp,190Nm@ 2000rpm,5,28.4 kmpl,127000,First Owner,Individual,605000
Honda WR-V i-VTEC VX,2017,Petrol,Manual,1199 CC,88.7 bhp,110Nm@ 4800rpm,5,17.5 kmpl,30000,First Owner,Individual,720000
Maruti Ertiga SHVS ZDI Plus,2017,Diesel,Manual,1248 CC,88.5 bhp,200Nm@ 1750rpm,7,24.52 kmpl,70000,First Owner,Individual,800000
Mahindra XUV500 W10 2WD,2017,Diesel,Manual,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7,16.0 kmpl,54000,First Owner,Individual,1325000
Mitsubishi Pajero 2.8 SFX BSIII Single Tone,2011,Diesel,Manual,2835 CC,116.9 bhp,292Nm@ 2000rpm,6,10.5 kmpl,120000,Second Owner,Individual,625000
Hyundai i20 1.4 CRDi Sportz,2011,Diesel,Manual,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5,23.0 kmpl,116500,First Owner,Individual,350000
Toyota Innova 2.5 G (Diesel) 8 Seater,2012,Diesel,Manual,2494 CC,100 bhp,200Nm@ 1400-3400rpm,8,12.99 kmpl,145000,Second Owner,Individual,600000
Hyundai i20 Sportz 1.2,2012,Petrol,Manual,1197 CC,82.85 bhp,113.7Nm@ 4000rpm,5,18.5 kmpl,120000,First Owner,Individual,300000
Tata New Safari DICOR 2.2 VX 4x2 BS IV,2011,Diesel,Manual,2179 CC,138.1 bhp,320Nm@ 1700-2700rpm,7,13.93 kmpl,120000,First Owner,Individual,240000
Ford Figo 1.5D Trend MT,2016,Diesel,Manual,1498 CC,99 bhp,215Nm@ 1750-3000rpm,5,25.83 kmpl,80000,First Owner,Individual,377000
Maruti Ertiga VXI,2013,Petrol,Manual,1373 CC,93.7 bhp,130Nm@ 4000rpm,7,16.02 kmpl,140000,First Owner,Individual,450000
Hyundai Verna Xi (Petrol),2008,Petrol,Manual,1599 CC,103.2 bhp,"14.9@ 3,000(kgm@ rpm)",5,13.9 kmpl,100000,Fourth & Above Owner,Individual,160000
Hyundai Xcent 1.2 VTVT E,2019,Petrol,Manual,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5,20.14 kmpl,100000,First Owner,Individual,525000
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2011,Diesel,Manual,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),8,12.8 kmpl,168000,Second Owner,Individual,550000
Chevrolet Cruze LTZ,2010,Diesel,Manual,1991 CC,147.9 bhp,327Nm@ 2600rpm,5,18.3 kmpl,120000,Third Owner,Individual,270000
Toyota Etios GD,2016,Diesel,Manual,1364 CC,67.05 bhp,170Nm@ 1800-2400rpm,5,23.59 kmpl,145000,Second Owner,Individual,570000
Ford Figo Diesel Titanium,2011,Diesel,Manual,1399 CC,68 bhp,160Nm@ 2000rpm,5,20.0 kmpl,90000,Second Owner,Individual,225000
