X1,X2,X3,X4,X5,X6,X7,X8,default
38.2,7,168,88,0.787,42,321,40,1
32.5,6,105,80,0.878,28,0,26,0
36.1,11,138,74,0.557,26,144,50,1
25.8,3,106,72,0.207,0,0,27,0
28.7,6,117,96,0.157,0,0,30,0
20.1,2,68,62,0.257,13,15,23,0
28.2,9,112,82,1.282,24,0,50,1
32.4,0,119,0,0.141,0,0,24,1
38.4,2,112,86,0.246,42,160,28,0
24.2,2,92,76,1.698,20,0,28,0
40.8,6,183,94,1.461,0,0,45,0
43.5,0,94,70,0.347,27,115,21,0
30.8,2,108,64,0.158,0,0,21,0
37.7,4,90,88,0.362,47,54,29,0
24.7,0,125,68,0.206,0,0,21,0
32.4,0,132,78,0.393,0,0,21,0
34.6,5,128,80,0.144,0,0,45,0
24.7,4,94,65,0.148,22,0,21,0
27.4,7,114,64,0.732,0,0,34,1
34.5,0,102,78,0.238,40,90,24,0
26.2,2,111,60,0.343,0,0,23,0
27.5,1,128,82,0.115,17,183,22,0
25.9,10,92,62,0.167,0,0,31,0
31.2,13,104,72,0.465,0,0,38,1
28.8,5,104,74,0.153,0,0,48,0
31.6,2,94,76,0.649,18,66,23,0
40.9,7,97,76,0.871,32,91,32,1
19.5,1,100,74,0.149,12,46,28,0
29.3,0,102,86,0.695,17,105,27,0
34.3,4,128,70,0.303,0,0,24,0
29.5,6,147,80,0.178,0,0,50,1
28,4,90,0,0.61,0,0,31,0
27.6,3,103,72,0.73,30,152,27,0
39.4,2,157,74,0.134,35,440,30,0
23.4,1,167,74,0.447,17,144,33,1
37.8,0,179,50,0.455,36,159,22,1
28.3,11,136,84,0.26,35,130,42,1
26.4,0,107,60,0.133,25,0,23,0
25.2,1,91,54,0.234,25,100,23,0
33.8,1,117,60,0.466,23,106,27,0
34.1,5,123,74,0.269,40,77,28,0
26.8,2,120,54,0.455,0,0,27,0
34.2,1,106,70,0.142,28,135,22,0
38.7,2,155,52,0.24,27,540,25,1
21.8,2,101,58,0.155,35,90,22,0
38.9,1,120,80,1.162,48,200,41,0
39,11,127,106,0.19,0,0,51,0
34.2,3,80,82,1.292,31,70,27,1
27.7,10,162,84,0.182,0,0,54,0
42.9,1,199,76,1.394,43,0,22,1
37.6,8,167,106,0.165,46,231,43,1
37.9,9,145,80,0.637,46,130,40,1
33.7,6,115,60,0.245,39,0,40,1
34.8,1,112,80,0.217,45,132,24,0
32.5,4,145,82,0.235,18,0,70,1
27.5,10,111,70,0.141,27,0,40,1
34,6,98,58,0.43,33,190,43,0
30.9,9,154,78,0.164,30,100,45,0
33.6,6,165,68,0.631,26,168,49,0
25.4,1,99,58,0.551,10,0,21,0
35.5,10,68,106,0.285,23,49,47,0
57.3,3,123,100,0.88,35,240,22,0
35.6,8,91,82,0.587,0,0,68,0
30.9,6,195,70,0.328,0,0,31,1
24.8,9,156,86,0.23,0,0,53,1
35.3,0,93,60,0.263,0,0,25,0
36,3,121,52,0.127,0,0,25,1
24.2,2,101,58,0.614,17,265,23,0
24.2,2,56,56,0.332,28,45,22,0
49.6,0,162,76,0.364,36,0,26,1
44.6,0,95,64,0.366,39,105,22,0
32.3,4,125,80,0.536,0,0,27,1
0,5,136,82,0.64,0,0,69,0
33.2,2,129,74,0.591,26,205,25,0
23.1,3,130,64,0.314,0,0,22,0
28.3,1,107,50,0.181,19,0,29,0
24.1,1,140,74,0.828,26,180,23,0
46.1,1,144,82,0.335,46,180,46,1
24.6,8,107,80,0.856,0,0,34,0
42.3,13,158,114,0.257,0,0,44,1
39.1,2,121,70,0.886,32,95,23,0
38.5,7,129,68,0.439,49,125,43,1
23.5,2,90,60,0.191,0,0,25,0
30.4,7,142,90,0.128,24,480,43,1
29.9,3,169,74,0.268,19,125,31,1
25,0,99,0,0.253,0,0,22,0
34.5,4,127,88,0.598,11,155,28,0
44.5,4,118,70,0.904,0,0,26,0
35.9,2,122,76,0.483,27,200,26,0
27.6,6,125,78,0.565,31,0,49,1
35,1,168,88,0.905,29,0,52,1
38.5,2,129,0,0.304,0,0,41,0
28.4,4,110,76,0.118,20,100,27,0
39.8,6,80,80,0.177,36,0,28,0
0,10,115,0,0.261,0,0,30,1
34.4,2,127,46,0.176,21,335,22,0
32.8,9,164,78,0.148,0,0,45,1
38,2,93,64,0.674,32,160,23,1
31.2,3,158,64,0.295,13,387,24,0
29.6,5,126,78,0.439,27,22,40,0
41.2,10,129,62,0.441,36,0,38,1
26.4,0,134,58,0.352,20,291,21,0
29.5,3,102,74,0.121,0,0,32,0
33.9,7,187,50,0.826,33,392,34,1
33.8,3,173,78,0.97,39,185,31,1
23.1,10,94,72,0.595,18,0,56,0
35.5,1,108,60,0.415,46,178,24,0
35.6,5,97,76,0.378,27,0,52,1
29.3,4,83,86,0.317,19,0,34,0
38.1,1,114,66,0.289,36,200,21,0
29.3,1,149,68,0.349,29,127,42,1
39.1,5,117,86,0.251,30,105,42,0
32.8,1,111,94,0.265,0,0,45,0
39.4,4,112,78,0.236,40,0,38,0
36.1,1,116,78,0.496,29,180,25,0
32.4,0,141,84,0.433,26,0,22,0
22.9,2,175,88,0.326,0,0,22,0
30.1,2,92,52,0.141,0,0,22,0
28.4,3,130,78,0.323,23,79,34,1
28.4,8,120,86,0.259,0,0,22,1
44.5,2,174,88,0.646,37,120,24,1
29,2,106,56,0.426,27,165,22,0
23.3,2,105,75,0.56,0,0,53,0
35.4,4,95,60,0.284,32,0,28,0
27.4,0,126,86,0.515,27,120,21,0
32,8,65,72,0.6,23,0,42,0
36.6,2,99,60,0.453,17,160,21,0
