Make,Colour,Odometer (KM),Doors,Price
BMW,,203517,5,Rs1342300
Nissan,White,203795,4,Rs466500
Toyota,White,203804,4,Rs263650
Toyota,,204213,4,Rs343000
BMW,Black,204746,5,Rs1224700
Nissan,White,205155,3,Rs514350
Toyota,Blue,205592,4,Rs814500
Honda,White,205597,4,Rs211950
Nissan,,206073,,Rs197200
BMW,,206446,5,Rs994600
Toyota,Blue,207048,4,Rs533150
Honda,Blue,207344,4,Rs247050
BMW,Red,208124,5,Rs1233400
Honda,Green,208651,4,Rs686100
Nissan,White,209259,4,Rs541150
BMW,Green,209340,5,Rs1457000
Toyota,Green,209457,,Rs729500
BMW,Blue,209466,5,
Nissan,Blue,209485,4,Rs673700
Nissan,Red,209976,4,Rs210000
Toyota,White,210123,4,Rs586550
Toyota,White,210193,4,Rs282650
Honda,Blue,210446,4,Rs179700
Toyota,White,210863,4,Rs605600
Toyota,Red,210870,4,Rs832600
Honda,White,211154,4,Rs470100
Nissan,Blue,211249,4,Rs788350
Nissan,White,211504,4,Rs704200
Honda,Red,211735,,
Honda,White,211862,4,Rs623800
Nissan,White,212081,3,Rs559600
BMW,Blue,212644,5,Rs977250
BMW,White,212920,3,Rs586650
Toyota,Green,213077,4,
Honda,Black,213154,4,Rs409600
Honda,White,213324,4,Rs435200
Toyota,Blue,213344,4,
Nissan,White,213449,3,Rs371250
Honda,,213793,4,Rs620100
Toyota,Green,213861,4,Rs187550
Toyota,Blue,213893,4,Rs287150
Toyota,Green,214179,4,Rs643600
Honda,White,214405,4,Rs399100
Toyota,White,214493,4,Rs621700
Nissan,,215026,4,
Nissan,White,215130,4,Rs588400
Nissan,White,215169,4,Rs739650
Honda,White,215235,4,Rs191250
Nissan,Blue,215820,4,Rs300500
Honda,White,215883,4,Rs200050
Toyota,Blue,215955,4,Rs399700
Toyota,White,216076,4,Rs607600
,Blue,216250,4,Rs484550
Toyota,White,216257,4,Rs858550
Toyota,Blue,216563,,Rs395150
Toyota,White,216647,4,Rs510350
Honda,Blue,217068,4,Rs217900
Toyota,Black,217253,4,Rs830150
Toyota,Black,218253,4,Rs658800
Toyota,Green,218482,4,Rs509900
Toyota,White,218519,4,
Nissan,Black,218697,4,Rs257850
Toyota,,218803,4,Rs664150
Nissan,,219137,4,Rs293250
Honda,Blue,219217,4,Rs237350
Toyota,Blue,219420,4,Rs447600
Honda,White,219635,4,Rs610800
Toyota,Red,220026,4,Rs477700
Toyota,Blue,220679,4,Rs775400
Honda,White,220876,4,
Toyota,White,221050,4,Rs319550
Toyota,Blue,221076,4,Rs439300
Honda,Black,221461,4,Rs522500
Toyota,Green,221725,4,Rs337100
Toyota,Blue,222542,4,Rs441700
Honda,Black,222786,4,
Toyota,Black,222813,4,
Nissan,White,222917,4,Rs783650
Honda,Blue,223005,4,Rs721550
Toyota,Blue,223390,4,Rs482400
Honda,Red,223416,4,Rs535350
Nissan,Green,223555,4,Rs592700
Honda,,223685,4,Rs468950
Toyota,White,223727,4,Rs645050
Toyota,Blue,223875,4,Rs632500
Nissan,White,223889,4,Rs504550
Honda,White,224292,4,Rs321550
Nissan,Blue,224410,4,Rs662200
,Black,224479,4,Rs522800
Toyota,White,224657,4,Rs662500
Honda,Blue,224900,4,Rs455200
Toyota,Black,224986,4,Rs561650
Toyota,White,225284,4,Rs620400
Toyota,Blue,225286,4,Rs604300
Honda,,225600,4,
Toyota,Black,225991,4,
Toyota,Blue,226217,4,Rs770650
Honda,Black,226391,4,Rs793950
,Red,227262,4,Rs600050
Nissan,White,227278,4,
Toyota,White,227387,4,Rs194750
BMW,White,227845,5,Rs564900
Toyota,Black,228063,4,Rs815400
Nissan,White,228090,4,Rs818300
Nissan,Blue,228192,4,Rs632050
Honda,Blue,228279,4,Rs675950
Toyota,,228619,4,Rs602900
BMW,White,228678,5,Rs927850
Toyota,Blue,229055,4,Rs543250
Toyota,Blue,229110,4,Rs862900
Honda,Blue,229206,4,Rs680700
Nissan,Green,229929,4,Rs490150
Toyota,Blue,230314,4,Rs336000
Honda,Blue,230570,,Rs533800
Toyota,Blue,230908,4,Rs644150
Toyota,White,230943,4,Rs678000
Nissan,Blue,231057,4,Rs296250
Honda,Black,231659,4,Rs491300
Toyota,White,231683,4,Rs800050
Honda,Black,231825,4,Rs649400
BMW,White,232696,5,Rs1347000
Honda,Blue,232904,4,Rs386250
Honda,Black,232910,4,Rs334500
Toyota,Blue,232912,4,Rs301450
Nissan,Green,233054,4,Rs446500
Nissan,Blue,233501,4,Rs139800
Toyota,Blue,234051,,Rs580800
Nissan,Blue,234146,3,Rs626100
Nissan,White,234161,4,Rs660000
Honda,Blue,234760,4,Rs570550
,White,235294,,Rs529850
Nissan,Green,235589,4,Rs295250
BMW,White,235774,,Rs1470050
Toyota,White,235792,4,Rs536300
Nissan,White,235952,4,Rs663600
Honda,Blue,235985,4,Rs459200
Honda,White,236432,4,
Toyota,White,236674,4,Rs761700
Honda,Blue,236760,4,Rs618100
Honda,Red,236800,4,
Toyota,Blue,237190,4,Rs390000
Honda,White,237209,4,Rs524700
Toyota,Blue,237448,4,Rs810100
Honda,Green,237627,4,Rs421500
Honda,Black,237861,4,Rs518700
Honda,White,238172,4,Rs663650
Toyota,Blue,238425,4,Rs325100
Honda,Red,238609,4,Rs252600
Honda,Green,238825,4,Rs476500
Toyota,Blue,239004,4,Rs428300
Toyota,White,239554,4,Rs537350
Toyota,White,239760,4,Rs244800
Nissan,Black,239908,4,Rs328350
Toyota,Red,240017,4,Rs686400
Nissan,Black,240536,4,Rs162350
Toyota,Blue,240627,4,Rs264250
Toyota,,240937,4,
Toyota,Green,241507,,Rs386200
Toyota,Red,241987,4,Rs486700
Toyota,White,242084,4,Rs655550
BMW,White,242935,3,Rs738350
Toyota,Green,243177,4,Rs156250
Toyota,Blue,243255,4,Rs368900
Toyota,Blue,243969,,Rs806900
BMW,Blue,244095,5,Rs1289000
Toyota,Blue,244204,4,Rs306050
Toyota,White,244404,4,Rs666700
Honda,Blue,244434,4,Rs412650
Honda,White,245327,4,Rs411300
BMW,Blue,245427,5,Rs876000
Toyota,White,245977,4,Rs551800
Honda,White,246079,4,Rs543600
Toyota,Blue,246817,4,Rs413450
Nissan,White,246825,3,Rs682350
Toyota,Blue,247601,4,Rs558100
Honda,Blue,247869,4,Rs599100
Honda,White,248301,4,Rs701300
Toyota,Blue,248360,4,Rs636600
Toyota,White,248416,4,Rs735850
Toyota,Blue,248447,4,Rs285400
Toyota,Red,248634,,Rs495950
Nissan,Black,248736,4,Rs417900
Toyota,White,248815,4,Rs489250
Honda,Blue,248899,4,Rs291700
Nissan,Blue,249860,4,Rs726200
Nissan,Blue,,4,Rs165000
Nissan,White,,4,Rs198700
Toyota,White,,4,Rs254700
Honda,White,,4,Rs282400
Honda,,,4,Rs353800
Toyota,White,,4,Rs425000
Toyota,Black,,4,Rs425650
Toyota,Green,,4,Rs453650
BMW,Red,,5,Rs468100
Nissan,Blue,,4,Rs477250
Toyota,Blue,,4,Rs501200
Honda,White,,4,Rs503800
Honda,White,,4,Rs506500
Toyota,Blue,,4,Rs541700
Honda,White,,4,Rs559100
,Green,,4,Rs572700
Honda,White,,4,Rs653500
Nissan,Red,,4,Rs656350
Toyota,Blue,,4,Rs660650
Toyota,White,,4,Rs701050
Toyota,Red,,4,Rs733550
Nissan,White,,4,Rs756550
Nissan,Red,,4,Rs757700
Nissan,White,,3,Rs793050
BMW,Blue,,3,Rs819550
Nissan,Red,,4,Rs857200
Honda,White,,4,Rs896950
Nissan,Blue,,4,Rs909100
Toyota,Blue,,4,Rs958750
Toyota,Green,,4,Rs996800
Honda,White,,4,Rs1015300
Toyota,White,,4,Rs1026050
Nissan,Red,,4,Rs1083950
Honda,Blue,,,Rs1102100
Honda,White,,4,Rs1137300
Honda,Blue,,4,Rs1192000
Toyota,White,,4,Rs1192200
Nissan,White,,3,Rs1193400
Honda,White,,4,Rs1340650
Honda,Green,,4,Rs1429950
Honda,,,4,Rs1449150
,White,,4,Rs1480800
BMW,Blue,,3,Rs1501000
BMW,Blue,,5,Rs1520600
BMW,,,5,Rs1644350
Toyota,White,,4,Rs1706650
Toyota,White,,4,Rs1767900
BMW,White,,5,Rs1906400
Toyota,White,,4,
Toyota,White,,4,
