Year,Continent,Country,Population,Life_Expectancy,GDP_per_Capita
2007,Africa,Ethiopia,76511887,52.947,690.8055759
1952,Europe,Finland,4090500,66.55,6424.519071
1957,Europe,Finland,4324000,67.49,7545.415386
1962,Europe,Finland,4491443,68.75,9371.842561
1967,Europe,Finland,4605744,69.83,10921.63626
1972,Europe,Finland,4639657,70.87,14358.8759
1977,Europe,Finland,4738902,72.52,15605.42283
1982,Europe,Finland,4826933,74.55,18533.15761
1987,Europe,Finland,4931729,74.83,21141.01223
1992,Europe,Finland,5041039,75.7,20647.16499
1997,Europe,Finland,5134406,77.13,23723.9502
2002,Europe,Finland,5193039,78.37,28204.59057
2007,Europe,Finland,5238460,79.313,33207.0844
1952,Europe,France,42459667,67.41,7029.809327
1957,Europe,France,44310863,68.93,8662.834898
1962,Europe,France,47124000,70.51,10560.48553
1967,Europe,France,49569000,71.55,12999.91766
1972,Europe,France,51732000,72.38,16107.19171
1977,Europe,France,53165019,73.83,18292.63514
1982,Europe,France,54433565,74.89,20293.89746
1987,Europe,France,55630100,76.34,22066.44214
1992,Europe,France,57374179,77.46,24703.79615
1997,Europe,France,58623428,78.64,25889.78487
2002,Europe,France,59925035,79.59,28926.03234
2007,Europe,France,61083916,80.657,30470.0167
1952,Africa,Gabon,420702,37.003,4293.476475
1957,Africa,Gabon,434904,38.999,4976.198099
1962,Africa,Gabon,455661,40.489,6631.459222
1967,Africa,Gabon,489004,44.598,8358.761987
1972,Africa,Gabon,537977,48.69,11401.94841
1977,Africa,Gabon,706367,52.79,21745.57328
1982,Africa,Gabon,753874,56.564,15113.36194
1987,Africa,Gabon,880397,60.19,11864.40844
1992,Africa,Gabon,985739,61.366,13522.15752
1997,Africa,Gabon,1126189,60.461,14722.84188
2002,Africa,Gabon,1299304,56.761,12521.71392
2007,Africa,Gabon,1454867,56.735,13206.48452
1952,Africa,Gambia,284320,30,485.2306591
1957,Africa,Gambia,323150,32.065,520.9267111
1962,Africa,Gambia,374020,33.896,599.650276
1967,Africa,Gambia,439593,35.857,734.7829124
1972,Africa,Gambia,517101,38.308,756.0868363
1977,Africa,Gambia,608274,41.842,884.7552507
1982,Africa,Gambia,715523,45.58,835.8096108
1987,Africa,Gambia,848406,49.265,611.6588611
1992,Africa,Gambia,1025384,52.644,665.6244126
1997,Africa,Gambia,1235767,55.861,653.7301704
2002,Africa,Gambia,1457766,58.041,660.5855997
2007,Africa,Gambia,1688359,59.448,752.7497265
1952,Europe,Germany,69145952,67.5,7144.114393
1957,Europe,Germany,71019069,69.1,10187.82665
1962,Europe,Germany,73739117,70.3,12902.46291
1967,Europe,Germany,76368453,70.8,14745.62561
1972,Europe,Germany,78717088,71,18016.18027
1977,Europe,Germany,78160773,72.5,20512.92123
1982,Europe,Germany,78335266,73.8,22031.53274
1987,Europe,Germany,77718298,74.847,24639.18566
1992,Europe,Germany,80597764,76.07,26505.30317
1997,Europe,Germany,82011073,77.34,27788.88416
2002,Europe,Germany,82350671,78.67,30035.80198
2007,Europe,Germany,82400996,79.406,32170.37442
1952,Africa,Ghana,5581001,43.149,911.2989371
1957,Africa,Ghana,6391288,44.779,1043.561537
1962,Africa,Ghana,7355248,46.452,1190.041118
1967,Africa,Ghana,8490213,48.072,1125.69716
1972,Africa,Ghana,9354120,49.875,1178.223708
1977,Africa,Ghana,10538093,51.756,993.2239571
1982,Africa,Ghana,11400338,53.744,876.032569
1987,Africa,Ghana,14168101,55.729,847.0061135
1992,Africa,Ghana,16278738,57.501,925.060154
1997,Africa,Ghana,18418288,58.556,1005.245812
2002,Africa,Ghana,20550751,58.453,1111.984578
2007,Africa,Ghana,22873338,60.022,1327.60891
1952,Europe,Greece,7733250,65.86,3530.690067
1957,Europe,Greece,8096218,67.86,4916.299889
1962,Europe,Greece,8448233,69.51,6017.190733
1967,Europe,Greece,8716441,71,8513.097016
1972,Europe,Greece,8888628,72.34,12724.82957
1977,Europe,Greece,9308479,73.68,14195.52428
1982,Europe,Greece,9786480,75.24,15268.42089
1987,Europe,Greece,9974490,76.67,16120.52839
1992,Europe,Greece,10325429,77.03,17541.49634
1997,Europe,Greece,10502372,77.869,18747.69814
2002,Europe,Greece,10603863,78.256,22514.2548
2007,Europe,Greece,10706290,79.483,27538.41188
1952,Americas,Guatemala,3146381,42.023,2428.237769
1957,Americas,Guatemala,3640876,44.142,2617.155967
1962,Americas,Guatemala,4208858,46.954,2750.364446
1967,Americas,Guatemala,4690773,50.016,3242.531147
1972,Americas,Guatemala,5149581,53.738,4031.408271
1977,Americas,Guatemala,5703430,56.029,4879.992748
1982,Americas,Guatemala,6395630,58.137,4820.49479
1987,Americas,Guatemala,7326406,60.782,4246.485974
1992,Americas,Guatemala,8486949,63.373,4439.45084
1997,Americas,Guatemala,9803875,66.322,4684.313807
2002,Americas,Guatemala,11178650,68.978,4858.347495
2007,Americas,Guatemala,12572928,70.259,5186.050003
1952,Africa,Guinea,2664249,33.609,510.1964923
1957,Africa,Guinea,2876726,34.558,576.2670245
1962,Africa,Guinea,3140003,35.753,686.3736739
1967,Africa,Guinea,3451418,37.197,708.7595409
1972,Africa,Guinea,3811387,38.842,741.6662307
1977,Africa,Guinea,4227026,40.762,874.6858643
1982,Africa,Guinea,4710497,42.891,857.2503577
1987,Africa,Guinea,5650262,45.552,805.5724718
1992,Africa,Guinea,6990574,48.576,794.3484384
1997,Africa,Guinea,8048834,51.455,869.4497668
2002,Africa,Guinea,8807818,53.676,945.5835837
2007,Africa,Guinea,9947814,56.007,942.6542111
1952,Africa,Guinea-Bissau,580653,32.5,299.850319
1957,Africa,Guinea-Bissau,601095,33.489,431.7904566
1962,Africa,Guinea-Bissau,627820,34.488,522.0343725
1967,Africa,Guinea-Bissau,601287,35.492,715.5806402
1972,Africa,Guinea-Bissau,625361,36.486,820.2245876
1977,Africa,Guinea-Bissau,745228,37.465,764.7259628
1982,Africa,Guinea-Bissau,825987,39.327,838.1239671
1987,Africa,Guinea-Bissau,927524,41.245,736.4153921
1992,Africa,Guinea-Bissau,1050938,43.266,745.5398706
1997,Africa,Guinea-Bissau,1193708,44.873,796.6644681
2002,Africa,Guinea-Bissau,1332459,45.504,575.7047176
2007,Africa,Guinea-Bissau,1472041,46.388,579.231743
1952,Americas,Haiti,3201488,37.579,1840.366939
1957,Americas,Haiti,3507701,40.696,1726.887882
1962,Americas,Haiti,3880130,43.59,1796.589032
1967,Americas,Haiti,4318137,46.243,1452.057666
1972,Americas,Haiti,4698301,48.042,1654.456946
1977,Americas,Haiti,4908554,49.923,1874.298931
1982,Americas,Haiti,5198399,51.461,2011.159549
1987,Americas,Haiti,5756203,53.636,1823.015995
1992,Americas,Haiti,6326682,55.089,1456.309517
1997,Americas,Haiti,6913545,56.671,1341.726931
2002,Americas,Haiti,7607651,58.137,1270.364932
2007,Americas,Haiti,8502814,60.916,1201.637154
1952,Americas,Honduras,1517453,41.912,2194.926204
1957,Americas,Honduras,1770390,44.665,2220.487682
1962,Americas,Honduras,2090162,48.041,2291.156835
1967,Americas,Honduras,2500689,50.924,2538.269358
1972,Americas,Honduras,2965146,53.884,2529.842345
1977,Americas,Honduras,3055235,57.402,3203.208066
1982,Americas,Honduras,3669448,60.909,3121.760794
1987,Americas,Honduras,4372203,64.492,3023.096699
1992,Americas,Honduras,5077347,66.399,3081.694603
1997,Americas,Honduras,5867957,67.659,3160.454906
2002,Americas,Honduras,6677328,68.565,3099.72866
2007,Americas,Honduras,7483763,70.198,3548.330846
1952,Asia,"Hong Kong, China",2125900,60.96,3054.421209
1957,Asia,"Hong Kong, China",2736300,64.75,3629.076457
1962,Asia,"Hong Kong, China",3305200,67.65,4692.648272
1967,Asia,"Hong Kong, China",3722800,70,6197.962814
1972,Asia,"Hong Kong, China",4115700,72,8315.928145
1977,Asia,"Hong Kong, China",4583700,73.6,11186.14125
1982,Asia,"Hong Kong, China",5264500,75.45,14560.53051
1987,Asia,"Hong Kong, China",5584510,76.2,20038.47269
1992,Asia,"Hong Kong, China",5829696,77.601,24757.60301
1997,Asia,"Hong Kong, China",6495918,80,28377.63219
2002,Asia,"Hong Kong, China",6762476,81.495,30209.01516
2007,Asia,"Hong Kong, China",6980412,82.208,39724.97867
1952,Europe,Hungary,9504000,64.03,5263.673816
1957,Europe,Hungary,9839000,66.41,6040.180011
1962,Europe,Hungary,10063000,67.96,7550.359877
1967,Europe,Hungary,10223422,69.5,9326.64467
1972,Europe,Hungary,10394091,69.76,10168.65611
1977,Europe,Hungary,10637171,69.95,11674.83737
1982,Europe,Hungary,10705535,69.39,12545.99066
1987,Europe,Hungary,10612740,69.58,12986.47998
1992,Europe,Hungary,10348684,69.17,10535.62855
1997,Europe,Hungary,10244684,71.04,11712.7768
2002,Europe,Hungary,10083313,72.59,14843.93556
2007,Europe,Hungary,9956108,73.338,18008.94444
1952,Europe,Iceland,147962,72.49,7267.688428
1957,Europe,Iceland,165110,73.47,9244.001412
1962,Europe,Iceland,182053,73.68,10350.15906
1967,Europe,Iceland,198676,73.73,13319.89568
1972,Europe,Iceland,209275,74.46,15798.06362
1977,Europe,Iceland,221823,76.11,19654.96247
1982,Europe,Iceland,233997,76.99,23269.6075
1987,Europe,Iceland,244676,77.23,26923.20628
1992,Europe,Iceland,259012,78.77,25144.39201
1997,Europe,Iceland,271192,78.95,28061.09966
2002,Europe,Iceland,288030,80.5,31163.20196
2007,Europe,Iceland,301931,81.757,36180.78919
1952,Asia,India,372000000,37.373,546.5657493
1957,Asia,India,409000000,40.249,590.061996
1962,Asia,India,454000000,43.605,658.3471509
1967,Asia,India,506000000,47.193,700.7706107
1972,Asia,India,567000000,50.651,724.032527
1977,Asia,India,634000000,54.208,813.337323
1982,Asia,India,708000000,56.596,855.7235377
1987,Asia,India,788000000,58.553,976.5126756
1992,Asia,India,872000000,60.223,1164.406809
1997,Asia,India,959000000,61.765,1458.817442
2002,Asia,India,1034172547,62.879,1746.769454
2007,Asia,India,1110396331,64.698,2452.210407
1952,Asia,Indonesia,82052000,37.468,749.6816546
1957,Asia,Indonesia,90124000,39.918,858.9002707
1962,Asia,Indonesia,99028000,42.518,849.2897701
1967,Asia,Indonesia,109343000,45.964,762.4317721
1972,Asia,Indonesia,121282000,49.203,1111.107907
1977,Asia,Indonesia,136725000,52.702,1382.702056
1982,Asia,Indonesia,153343000,56.159,1516.872988
1987,Asia,Indonesia,169276000,60.137,1748.356961
1992,Asia,Indonesia,184816000,62.681,2383.140898
1997,Asia,Indonesia,199278000,66.041,3119.335603
2002,Asia,Indonesia,211060000,68.588,2873.91287
2007,Asia,Indonesia,223547000,70.65,3540.651564
1952,Asia,Iran,17272000,44.869,3035.326002
1957,Asia,Iran,19792000,47.181,3290.257643
1962,Asia,Iran,22874000,49.325,4187.329802
1967,Asia,Iran,26538000,52.469,5906.731805
1972,Asia,Iran,30614000,55.234,9613.818607
1977,Asia,Iran,35480679,57.702,11888.59508
1982,Asia,Iran,43072751,59.62,7608.334602
1987,Asia,Iran,51889696,63.04,6642.881371
1992,Asia,Iran,60397973,65.742,7235.653188
1997,Asia,Iran,63327987,68.042,8263.590301
2002,Asia,Iran,66907826,69.451,9240.761975
2007,Asia,Iran,69453570,70.964,11605.71449
1952,Asia,Iraq,5441766,45.32,4129.766056
1957,Asia,Iraq,6248643,48.437,6229.333562
1962,Asia,Iraq,7240260,51.457,8341.737815
1967,Asia,Iraq,8519282,54.459,8931.459811
1972,Asia,Iraq,10061506,56.95,9576.037596
1977,Asia,Iraq,11882916,60.413,14688.23507
1982,Asia,Iraq,14173318,62.038,14517.90711
1987,Asia,Iraq,16543189,65.044,11643.57268
1992,Asia,Iraq,17861905,59.461,3745.640687
1997,Asia,Iraq,20775703,58.811,3076.239795
2002,Asia,Iraq,24001816,57.046,4390.717312
2007,Asia,Iraq,27499638,59.545,4471.061906
1952,Europe,Ireland,2952156,66.91,5210.280328
1957,Europe,Ireland,2878220,68.9,5599.077872
1962,Europe,Ireland,2830000,70.29,6631.597314
1967,Europe,Ireland,2900100,71.08,7655.568963
1972,Europe,Ireland,3024400,71.28,9530.772896
1977,Europe,Ireland,3271900,72.03,11150.98113
1982,Europe,Ireland,3480000,73.1,12618.32141
1987,Europe,Ireland,3539900,74.36,13872.86652
1992,Europe,Ireland,3557761,75.467,17558.81555
1997,Europe,Ireland,3667233,76.122,24521.94713
2002,Europe,Ireland,3879155,77.783,34077.04939
2007,Europe,Ireland,4109086,78.885,40675.99635
1952,Asia,Israel,1620914,65.39,4086.522128
1957,Asia,Israel,1944401,67.84,5385.278451
1962,Asia,Israel,2310904,69.39,7105.630706
1967,Asia,Israel,2693585,70.75,8393.741404
1972,Asia,Israel,3095893,71.63,12786.93223
1977,Asia,Israel,3495918,73.06,13306.61921
1982,Asia,Israel,3858421,74.45,15367.0292
1987,Asia,Israel,4203148,75.6,17122.47986
1992,Asia,Israel,4936550,76.93,18051.52254
1997,Asia,Israel,5531387,78.269,20896.60924
2002,Asia,Israel,6029529,79.696,21905.59514
2007,Asia,Israel,6426679,80.745,25523.2771
1952,Europe,Italy,47666000,65.94,4931.404155
1957,Europe,Italy,49182000,67.81,6248.656232
1962,Europe,Italy,50843200,69.24,8243.58234
1967,Europe,Italy,52667100,71.06,10022.40131
1972,Europe,Italy,54365564,72.19,12269.27378
1977,Europe,Italy,56059245,73.48,14255.98475
1982,Europe,Italy,56535636,74.98,16537.4835
1987,Europe,Italy,56729703,76.42,19207.23482
1992,Europe,Italy,56840847,77.44,22013.64486
1997,Europe,Italy,57479469,78.82,24675.02446
2002,Europe,Italy,57926999,80.24,27968.09817
2007,Europe,Italy,58147733,80.546,28569.7197
1952,Americas,Jamaica,1426095,58.53,2898.530881
1957,Americas,Jamaica,1535090,62.61,4756.525781
1962,Americas,Jamaica,1665128,65.61,5246.107524
1967,Americas,Jamaica,1861096,67.51,6124.703451
1972,Americas,Jamaica,1997616,69,7433.889293
1977,Americas,Jamaica,2156814,70.11,6650.195573
1982,Americas,Jamaica,2298309,71.21,6068.05135
1987,Americas,Jamaica,2326606,71.77,6351.237495
1992,Americas,Jamaica,2378618,71.766,7404.923685
1997,Americas,Jamaica,2531311,72.262,7121.924704
2002,Americas,Jamaica,2664659,72.047,6994.774861
2007,Americas,Jamaica,2780132,72.567,7320.880262
1952,Asia,Japan,86459025,63.03,3216.956347
1957,Asia,Japan,91563009,65.5,4317.694365
1962,Asia,Japan,95831757,68.73,6576.649461
1967,Asia,Japan,100825279,71.43,9847.788607
1972,Asia,Japan,107188273,73.42,14778.78636
1977,Asia,Japan,113872473,75.38,16610.37701
1982,Asia,Japan,118454974,77.11,19384.10571
1987,Asia,Japan,122091325,78.67,22375.94189
1992,Asia,Japan,124329269,79.36,26824.89511
1997,Asia,Japan,125956499,80.69,28816.58499
2002,Asia,Japan,127065841,82,28604.5919
2007,Asia,Japan,127467972,82.603,31656.06806
1952,Asia,Jordan,607914,43.158,1546.907807
1957,Asia,Jordan,746559,45.669,1886.080591
1962,Asia,Jordan,933559,48.126,2348.009158
1967,Asia,Jordan,1255058,51.629,2741.796252
1972,Asia,Jordan,1613551,56.528,2110.856309
1977,Asia,Jordan,1937652,61.134,2852.351568
1982,Asia,Jordan,2347031,63.739,4161.415959
1987,Asia,Jordan,2820042,65.869,4448.679912
1992,Asia,Jordan,3867409,68.015,3431.593647
1997,Asia,Jordan,4526235,69.772,3645.379572
2002,Asia,Jordan,5307470,71.263,3844.917194
2007,Asia,Jordan,6053193,72.535,4519.461171
1952,Africa,Kenya,6464046,42.27,853.540919
1957,Africa,Kenya,7454779,44.686,944.4383152
1962,Africa,Kenya,8678557,47.949,896.9663732
1967,Africa,Kenya,10191512,50.654,1056.736457
1972,Africa,Kenya,12044785,53.559,1222.359968
1977,Africa,Kenya,14500404,56.155,1267.613204
1982,Africa,Kenya,17661452,58.766,1348.225791
1987,Africa,Kenya,21198082,59.339,1361.936856
1992,Africa,Kenya,25020539,59.285,1341.921721
1997,Africa,Kenya,28263827,54.407,1360.485021
2002,Africa,Kenya,31386842,50.992,1287.514732
2007,Africa,Kenya,35610177,54.11,1463.249282
1952,Asia,"Korea, Dem. Rep.",8865488,50.056,1088.277758
1957,Asia,"Korea, Dem. Rep.",9411381,54.081,1571.134655
1962,Asia,"Korea, Dem. Rep.",10917494,56.656,1621.693598
1967,Asia,"Korea, Dem. Rep.",12617009,59.942,2143.540609
1972,Asia,"Korea, Dem. Rep.",14781241,63.983,3701.621503
1977,Asia,"Korea, Dem. Rep.",16325320,67.159,4106.301249
1982,Asia,"Korea, Dem. Rep.",17647518,69.1,4106.525293
1987,Asia,"Korea, Dem. Rep.",19067554,70.647,4106.492315
1992,Asia,"Korea, Dem. Rep.",20711375,69.978,3726.063507
1997,Asia,"Korea, Dem. Rep.",21585105,67.727,1690.756814
2002,Asia,"Korea, Dem. Rep.",22215365,66.662,1646.758151
2007,Asia,"Korea, Dem. Rep.",23301725,67.297,1593.06548
1952,Asia,"Korea, Rep.",20947571,47.453,1030.592226
1957,Asia,"Korea, Rep.",22611552,52.681,1487.593537
1962,Asia,"Korea, Rep.",26420307,55.292,1536.344387
1967,Asia,"Korea, Rep.",30131000,57.716,2029.228142
1972,Asia,"Korea, Rep.",33505000,62.612,3030.87665
1977,Asia,"Korea, Rep.",36436000,64.766,4657.22102
1982,Asia,"Korea, Rep.",39326000,67.123,5622.942464
1987,Asia,"Korea, Rep.",41622000,69.81,8533.088805
1992,Asia,"Korea, Rep.",43805450,72.244,12104.27872
1997,Asia,"Korea, Rep.",46173816,74.647,15993.52796
2002,Asia,"Korea, Rep.",47969150,77.045,19233.98818
2007,Asia,"Korea, Rep.",49044790,78.623,23348.13973
1952,Asia,Kuwait,160000,55.565,108382.3529
1957,Asia,Kuwait,212846,58.033,113523.1329
1962,Asia,Kuwait,358266,60.47,95458.11176
1967,Asia,Kuwait,575003,64.624,80894.88326
1972,Asia,Kuwait,841934,67.712,109347.867
1977,Asia,Kuwait,1140357,69.343,59265.47714
1982,Asia,Kuwait,1497494,71.309,31354.03573
1987,Asia,Kuwait,1891487,74.174,28118.42998
1992,Asia,Kuwait,1418095,75.19,34932.91959
1997,Asia,Kuwait,1765345,76.156,40300.61996
2002,Asia,Kuwait,2111561,76.904,35110.10566
2007,Asia,Kuwait,2505559,77.588,47306.98978
1952,Asia,Lebanon,1439529,55.928,4834.804067
1957,Asia,Lebanon,1647412,59.489,6089.786934
1962,Asia,Lebanon,1886848,62.094,5714.560611
1967,Asia,Lebanon,2186894,63.87,6006.983042
1972,Asia,Lebanon,2680018,65.421,7486.384341
1977,Asia,Lebanon,3115787,66.099,8659.696836
1982,Asia,Lebanon,3086876,66.983,7640.519521
1987,Asia,Lebanon,3089353,67.926,5377.091329
1992,Asia,Lebanon,3219994,69.292,6890.806854
1997,Asia,Lebanon,3430388,70.265,8754.96385
2002,Asia,Lebanon,3677780,71.028,9313.93883
2007,Asia,Lebanon,3921278,71.993,10461.05868
1952,Africa,Lesotho,748747,42.138,298.8462121
1957,Africa,Lesotho,813338,45.047,335.9971151
1962,Africa,Lesotho,893143,47.747,411.8006266
1967,Africa,Lesotho,996380,48.492,498.6390265
1972,Africa,Lesotho,1116779,49.767,496.5815922
1977,Africa,Lesotho,1251524,52.208,745.3695408
1982,Africa,Lesotho,1411807,55.078,797.2631074
1987,Africa,Lesotho,1599200,57.18,773.9932141
1992,Africa,Lesotho,1803195,59.685,977.4862725
1997,Africa,Lesotho,1982823,55.558,1186.147994
2002,Africa,Lesotho,2046772,44.593,1275.184575
2007,Africa,Lesotho,2012649,42.592,1569.331442
1952,Africa,Liberia,863308,38.48,575.5729961
1957,Africa,Liberia,975950,39.486,620.9699901
1962,Africa,Liberia,1112796,40.502,634.1951625
1967,Africa,Liberia,1279406,41.536,713.6036483
1972,Africa,Liberia,1482628,42.614,803.0054535
1977,Africa,Liberia,1703617,43.764,640.3224383
1982,Africa,Liberia,1956875,44.852,572.1995694
1987,Africa,Liberia,2269414,46.027,506.1138573
1992,Africa,Liberia,1912974,40.802,636.6229191
1997,Africa,Liberia,2200725,42.221,609.1739508
2002,Africa,Liberia,2814651,43.753,531.4823679
2007,Africa,Liberia,3193942,45.678,414.5073415
1952,Africa,Libya,1019729,42.723,2387.54806
1957,Africa,Libya,1201578,45.289,3448.284395
1962,Africa,Libya,1441863,47.808,6757.030816
1967,Africa,Libya,1759224,50.227,18772.75169
1972,Africa,Libya,2183877,52.773,21011.49721
1977,Africa,Libya,2721783,57.442,21951.21176
1982,Africa,Libya,3344074,62.155,17364.27538
1987,Africa,Libya,3799845,66.234,11770.5898
1992,Africa,Libya,4364501,68.755,9640.138501
1997,Africa,Libya,4759670,71.555,9467.446056
2002,Africa,Libya,5368585,72.737,9534.677467
2007,Africa,Libya,6036914,73.952,12057.49928
1952,Africa,Madagascar,4762912,36.681,1443.011715
1957,Africa,Madagascar,5181679,38.865,1589.20275
1962,Africa,Madagascar,5703324,40.848,1643.38711
1967,Africa,Madagascar,6334556,42.881,1634.047282
1972,Africa,Madagascar,7082430,44.851,1748.562982
1977,Africa,Madagascar,8007166,46.881,1544.228586
1982,Africa,Madagascar,9171477,48.969,1302.878658
1987,Africa,Madagascar,10568642,49.35,1155.441948
1992,Africa,Madagascar,12210395,52.214,1040.67619
1997,Africa,Madagascar,14165114,54.978,986.2958956
2002,Africa,Madagascar,16473477,57.286,894.6370822
2007,Africa,Madagascar,19167654,59.443,1044.770126
1952,Africa,Malawi,2917802,36.256,369.1650802
1957,Africa,Malawi,3221238,37.207,416.3698064
1962,Africa,Malawi,3628608,38.41,427.9010856
1967,Africa,Malawi,4147252,39.487,495.5147806
1972,Africa,Malawi,4730997,41.766,584.6219709
1977,Africa,Malawi,5637246,43.767,663.2236766
1982,Africa,Malawi,6502825,45.642,632.8039209
1987,Africa,Malawi,7824747,47.457,635.5173634
1992,Africa,Malawi,10014249,49.42,563.2000145
1997,Africa,Malawi,10419991,47.495,692.2758103
2002,Africa,Malawi,11824495,45.009,665.4231186
2007,Africa,Malawi,13327079,48.303,759.3499101
1952,Asia,Malaysia,6748378,48.463,1831.132894
1957,Asia,Malaysia,7739235,52.102,1810.066992
1962,Asia,Malaysia,8906385,55.737,2036.884944
1967,Asia,Malaysia,10154878,59.371,2277.742396
1972,Asia,Malaysia,11441462,63.01,2849.09478
1977,Asia,Malaysia,12845381,65.256,3827.921571
1982,Asia,Malaysia,14441916,68,4920.355951
1987,Asia,Malaysia,16331785,69.5,5249.802653
1992,Asia,Malaysia,18319502,70.693,7277.912802
1997,Asia,Malaysia,20476091,71.938,10132.90964
2002,Asia,Malaysia,22662365,73.044,10206.97794
2007,Asia,Malaysia,24821286,74.241,12451.6558
1952,Africa,Mali,3838168,33.685,452.3369807
1957,Africa,Mali,4241884,35.307,490.3821867
1962,Africa,Mali,4690372,36.936,496.1743428
1967,Africa,Mali,5212416,38.487,545.0098873
1972,Africa,Mali,5828158,39.977,581.3688761
1977,Africa,Mali,6491649,41.714,686.3952693
1982,Africa,Mali,6998256,43.916,618.0140641
1987,Africa,Mali,7634008,46.364,684.1715576
1992,Africa,Mali,8416215,48.388,739.014375
1997,Africa,Mali,9384984,49.903,790.2579846
2002,Africa,Mali,10580176,51.818,951.4097518
2007,Africa,Mali,12031795,54.467,1042.581557
1952,Africa,Mauritania,1022556,40.543,743.1159097
1957,Africa,Mauritania,1076852,42.338,846.1202613
1962,Africa,Mauritania,1146757,44.248,1055.896036
1967,Africa,Mauritania,1230542,46.289,1421.145193
1972,Africa,Mauritania,1332786,48.437,1586.851781
1977,Africa,Mauritania,1456688,50.852,1497.492223
1982,Africa,Mauritania,1622136,53.599,1481.150189
1987,Africa,Mauritania,1841240,56.145,1421.603576
1992,Africa,Mauritania,2119465,58.333,1361.369784
1997,Africa,Mauritania,2444741,60.43,1483.136136
2002,Africa,Mauritania,2828858,62.247,1579.019543
2007,Africa,Mauritania,3270065,64.164,1803.151496
1952,Africa,Mauritius,516556,50.986,1967.955707
1957,Africa,Mauritius,609816,58.089,2034.037981
1962,Africa,Mauritius,701016,60.246,2529.067487
1967,Africa,Mauritius,789309,61.557,2475.387562
1972,Africa,Mauritius,851334,62.944,2575.484158
1977,Africa,Mauritius,913025,64.93,3710.982963
1982,Africa,Mauritius,992040,66.711,3688.037739
1987,Africa,Mauritius,1042663,68.74,4783.586903
1992,Africa,Mauritius,1096202,69.745,6058.253846
1997,Africa,Mauritius,1149818,70.736,7425.705295
2002,Africa,Mauritius,1200206,71.954,9021.815894
2007,Africa,Mauritius,1250882,72.801,10956.99112
1952,Americas,Mexico,30144317,50.789,3478.125529
1957,Americas,Mexico,35015548,55.19,4131.546641
1962,Americas,Mexico,41121485,58.299,4581.609385
1967,Americas,Mexico,47995559,60.11,5754.733883
1972,Americas,Mexico,55984294,62.361,6809.40669
1977,Americas,Mexico,63759976,65.032,7674.929108
1982,Americas,Mexico,71640904,67.405,9611.147541
1987,Americas,Mexico,80122492,69.498,8688.156003
1992,Americas,Mexico,88111030,71.455,9472.384295
1997,Americas,Mexico,95895146,73.67,9767.29753
2002,Americas,Mexico,102479927,74.902,10742.44053
2007,Americas,Mexico,108700891,76.195,11977.57496
1952,Asia,Mongolia,800663,42.244,786.5668575
1957,Asia,Mongolia,882134,45.248,912.6626085
1962,Asia,Mongolia,1010280,48.251,1056.353958
1967,Asia,Mongolia,1149500,51.253,1226.04113
1972,Asia,Mongolia,1320500,53.754,1421.741975
1977,Asia,Mongolia,1528000,55.491,1647.511665
1982,Asia,Mongolia,1756032,57.489,2000.603139
1987,Asia,Mongolia,2015133,60.222,2338.008304
1992,Asia,Mongolia,2312802,61.271,1785.402016
1997,Asia,Mongolia,2494803,63.625,1902.2521
2002,Asia,Mongolia,2674234,65.033,2140.739323
2007,Asia,Mongolia,2874127,66.803,3095.772271
1952,Europe,Montenegro,413834,59.164,2647.585601
1957,Europe,Montenegro,442829,61.448,3682.259903
1962,Europe,Montenegro,474528,63.728,4649.593785
1967,Europe,Montenegro,501035,67.178,5907.850937
1972,Europe,Montenegro,527678,70.636,7778.414017
1977,Europe,Montenegro,560073,73.066,9595.929905
1982,Europe,Montenegro,562548,74.101,11222.58762
1987,Europe,Montenegro,569473,74.865,11732.51017
1992,Europe,Montenegro,621621,75.435,7003.339037
1997,Europe,Montenegro,692651,75.445,6465.613349
2002,Europe,Montenegro,720230,73.981,6557.194282
2007,Europe,Montenegro,684736,74.543,9253.896111
1952,Africa,Morocco,9939217,42.873,1688.20357
1957,Africa,Morocco,11406350,45.423,1642.002314
1962,Africa,Morocco,13056604,47.924,1566.353493
1967,Africa,Morocco,14770296,50.335,1711.04477
1972,Africa,Morocco,16660670,52.862,1930.194975
1977,Africa,Morocco,18396941,55.73,2370.619976
1982,Africa,Morocco,20198730,59.65,2702.620356
1987,Africa,Morocco,22987397,62.677,2755.046991
1992,Africa,Morocco,25798239,65.393,2948.047252
1997,Africa,Morocco,28529501,67.66,2982.101858
2002,Africa,Morocco,31167783,69.615,3258.495584
2007,Africa,Morocco,33757175,71.164,3820.17523
1952,Africa,Mozambique,6446316,31.286,468.5260381
1957,Africa,Mozambique,7038035,33.779,495.5868333
1962,Africa,Mozambique,7788944,36.161,556.6863539
1967,Africa,Mozambique,8680909,38.113,566.6691539
1972,Africa,Mozambique,9809596,40.328,724.9178037
1977,Africa,Mozambique,11127868,42.495,502.3197334
1982,Africa,Mozambique,12587223,42.795,462.2114149
1987,Africa,Mozambique,12891952,42.861,389.8761846
1992,Africa,Mozambique,13160731,44.284,410.8968239
1997,Africa,Mozambique,16603334,46.344,472.3460771
2002,Africa,Mozambique,18473780,44.026,633.6179466
2007,Africa,Mozambique,19951656,42.082,823.6856205
1952,Asia,Myanmar,20092996,36.319,331
1957,Asia,Myanmar,21731844,41.905,350
